site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
AINP 02OCT08 2002.7680 52555 1187 2 -155.5   4410  0.458038   2142918  0.575747  1567  0.855942  0.0890 0.000995 0.000916 0.004217 -0.010732  0.153253  0.026539  19.3726520079 -155.4580177891  1567.85594
AINP 02OCT09 2002.7707 52556 1187 3 -155.5   4410  0.459815   2142918  0.577871  1567  0.851252  0.0890 0.001050 0.001013 0.004464  0.006822  0.116331  0.060803  19.3726520271 -155.4580177722  1567.85125
AINP 02OCT10 2002.7734 52557 1187 4 -155.5   4410  0.456065   2142918  0.576704  1567  0.871350  0.0890 0.001003 0.000951 0.004309  0.022275  0.102316  0.028423  19.3726520166 -155.4580178079  1567.87135
AINP 02OCT11 2002.7762 52558 1187 5 -155.5   4410  0.459050   2142918  0.575722  1567  0.846782  0.0890 0.000993 0.000946 0.004134  0.057237  0.113710  0.074350  19.3726520077 -155.4580177795  1567.84678
AINP 02OCT12 2002.7789 52559 1187 6 -155.5   4410  0.453666   2142918  0.577510  1567  0.857970  0.0890 0.001035 0.000953 0.004278 -0.018471  0.104501  0.041900  19.3726520239 -155.4580178308  1567.85797
AINP 02OCT13 2002.7817 52560 1188 0 -155.5   4410  0.454881   2142918  0.577152  1567  0.848270  0.0890 0.000978 0.000904 0.004057 -0.023843  0.146250  0.051396  19.3726520206 -155.4580178192  1567.84827
AINP 02OCT22 2002.8063 52569 1189 2 -155.5   4410  0.454740   2142918  0.576108  1567  0.848343  0.0890 0.000963 0.000877 0.003917 -0.032301  0.163268 -0.005704  19.3726520112 -155.4580178205  1567.84834
AINP 02OCT23 2002.8090 52570 1189 3 -155.5   4410  0.456070   2142918  0.576206  1567  0.845230  0.0890 0.000936 0.000854 0.003877 -0.049737  0.119397 -0.029080  19.3726520121 -155.4580178079  1567.84523
AINP 02OCT24 2002.8118 52571 1189 4 -155.5   4410  0.449895   2142918  0.577861  1567  0.841876  0.0890 0.000976 0.000874 0.003963  0.018768  0.115967 -0.043350  19.3726520270 -155.4580178667  1567.84188
AINP 02OCT25 2002.8145 52572 1189 5 -155.5   4410  0.453872   2142918  0.578707  1567  0.850768  0.0890 0.000961 0.000856 0.003896 -0.025058  0.182479 -0.044246  19.3726520347 -155.4580178288  1567.85077
