site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
ALEP 04JUL15 2004.5366 53201 1279 4 -155.6  -4628 -0.996332   2161572  0.154724  2922  0.227735  0.0000 0.000897 0.000840 0.003563 -0.010620  0.086130  0.145569  19.5411613618 -155.6441079616  2922.22774
ALEP 04JUL16 2004.5394 53202 1279 5 -155.6  -4628 -0.996773   2161572  0.153991  2922  0.227753  0.0000 0.000962 0.000898 0.003994 -0.047082  0.037154  0.154229  19.5411613552 -155.6441079658  2922.22775
ALEP 04JUL17 2004.5421 53203 1279 6 -155.6  -4628 -0.996802   2161572  0.154943  2922  0.222046  0.0000 0.000893 0.000816 0.003531 -0.010245  0.082558  0.049590  19.5411613638 -155.6441079661  2922.22205
ALEP 04JUL18 2004.5448 53204 1280 0 -155.6  -4628 -0.997752   2161572  0.156307  2922  0.229482  0.0000 0.000991 0.000899 0.003883 -0.032363  0.000054  0.075811  19.5411613761 -155.6441079751  2922.22948
ALEP 04JUL19 2004.5476 53205 1280 1 -155.6  -4628 -0.995918   2161572  0.155146  2922  0.222392  0.0000 0.000900 0.000821 0.003655 -0.040955  0.057303  0.065251  19.5411613657 -155.6441079577  2922.22239
ALEP 04JUL20 2004.5503 53206 1280 2 -155.6  -4628 -0.998373   2161572  0.155858  2922  0.228043  0.0000 0.000914 0.000834 0.003610 -0.014408  0.048736  0.068080  19.5411613721 -155.6441079810  2922.22804
ALEP 04JUL21 2004.5530 53207 1280 3 -155.6  -4628 -0.999463   2161572  0.158846  2922  0.231496  0.0000 0.000894 0.000839 0.003677 -0.041913  0.064987  0.082201  19.5411613991 -155.6441079914  2922.23150
ALEP 04JUL22 2004.5558 53208 1280 4 -155.6  -4628 -0.998776   2161572  0.156717  2922  0.229896  0.0000 0.000910 0.000855 0.003725 -0.023408  0.053349  0.102836  19.5411613798 -155.6441079849  2922.22990
ALEP 04JUL23 2004.5585 53209 1280 5 -155.6  -4628 -0.999348   2161572  0.157253  2922  0.223718  0.0000 0.000898 0.000841 0.003680 -0.039073  0.009334  0.050543  19.5411613847 -155.6441079904  2922.22372
ALEP 04JUL24 2004.5613 53210 1280 6 -155.6  -4628 -0.999344   2161572  0.157892  2922  0.225271  0.0000 0.000953 0.000907 0.003979  0.037869  0.069017  0.081716  19.5411613905 -155.6441079903  2922.22527
