site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
BLBP 04JUN08 2004.4353 53164 1274 2 -155.7  -1200 -0.324063   2140922  0.212685  2664  0.224054  0.0000 0.000905 0.000812 0.003726  0.037199  0.020904 -0.086703  19.3546174366 -155.7114243728  2664.22405
BLBP 04JUN12 2004.4463 53168 1274 6 -155.7  -1200 -0.325226   2140922  0.210324  2664  0.225970  0.0000 0.000990 0.000882 0.003996  0.024940 -0.002085 -0.060652  19.3546174152 -155.7114243839  2664.22597
BLBP 04JUN13 2004.4490 53169 1275 0 -155.7  -1200 -0.326080   2140922  0.211681  2664  0.215983  0.0000 0.000951 0.000850 0.003849 -0.052705  0.048337 -0.100817  19.3546174275 -155.7114243920  2664.21598
BLBP 04JUN14 2004.4517 53170 1275 1 -155.7  -1200 -0.326577   2140922  0.212482  2664  0.219371  0.0000 0.000992 0.000902 0.004002  0.042603 -0.044572 -0.070502  19.3546174347 -155.7114243968  2664.21937
BLBP 04JUN15 2004.4545 53171 1275 2 -155.7  -1200 -0.323752   2140922  0.213387  2664  0.217269  0.0000 0.000943 0.000833 0.003787  0.007661 -0.067638 -0.024806  19.3546174429 -155.7114243699  2664.21727
BLBP 04JUN16 2004.4572 53172 1275 3 -155.7  -1200 -0.325717   2140922  0.211901  2664  0.219353  0.0000 0.000965 0.000846 0.003819  0.062104 -0.090648 -0.069180  19.3546174295 -155.7114243886  2664.21935
BLBP 04JUN24 2004.4791 53180 1276 4 -155.7  -1200 -0.327325   2140922  0.210840  2664  0.206812  0.0000 0.001240 0.001159 0.005064 -0.037608  0.064473 -0.004427  19.3546174199 -155.7114244039  2664.20681
BLBP 04JUL01 2004.4983 53187 1277 4 -155.7  -1200 -0.329824   2140922  0.211763  2664  0.225286  0.0000 0.001064 0.000930 0.004243  0.017009 -0.001347 -0.049611  19.3546174282 -155.7114244277  2664.22529
BLBP 04JUL03 2004.5038 53189 1277 6 -155.7  -1200 -0.327690   2140922  0.213088  2664  0.223902  0.0000 0.001122 0.001011 0.004951  0.048735 -0.058397 -0.035902  19.3546174402 -155.7114244074  2664.22390
BLBP 04JUL04 2004.5065 53190 1278 0 -155.7  -1200 -0.329176   2140922  0.214218  2664  0.228716  0.0000 0.000946 0.000842 0.003652  0.035685  0.022535 -0.040847  19.3546174504 -155.7114244215  2664.22872
BLBP 04JUL05 2004.5092 53191 1278 1 -155.7  -1200 -0.329878   2140922  0.213530  2664  0.222688  0.0000 0.000986 0.000867 0.003795  0.015321  0.032026 -0.000574  19.3546174442 -155.7114244282  2664.22269
