site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
KFAP 04JUL16 2004.5394 53202 1279 5 -155.4  -4266 -0.233108   2150191  0.438670  2073  0.502491  0.0000 0.001128 0.001010 0.004789 -0.061778  0.182048  0.064604  19.4383526637 -155.4406256736  2073.50249
KFAP 04JUL18 2004.5448 53204 1280 0 -155.4  -4266 -0.234276   2150191  0.439432  2073  0.502721  0.0000 0.001026 0.000969 0.004549 -0.060511  0.245662  0.086685  19.4383526706 -155.4406256848  2073.50272
KFAP 04JUL19 2004.5476 53205 1280 1 -155.4  -4266 -0.231016   2150191  0.439492  2073  0.503774  0.0000 0.001098 0.000993 0.004783 -0.057786  0.174193  0.050610  19.4383526711 -155.4406256537  2073.50377
KFAP 04JUL20 2004.5503 53206 1280 2 -155.4  -4266 -0.233107   2150191  0.438896  2073  0.503405  0.0000 0.001062 0.000959 0.004718 -0.015805  0.246135  0.068671  19.4383526657 -155.4406256736  2073.50340
KFAP 04JUL21 2004.5530 53207 1280 3 -155.4  -4266 -0.231717   2150191  0.443461  2073  0.499663  0.0000 0.001109 0.001009 0.004937 -0.043311  0.252468  0.072266  19.4383527070 -155.4406256604  2073.49966
KFAP 04JUL22 2004.5558 53208 1280 4 -155.4  -4266 -0.231835   2150191  0.439290  2073  0.497831  0.0000 0.001106 0.001006 0.004865 -0.032192  0.184626  0.089435  19.4383526693 -155.4406256615  2073.49783
KFAP 04JUL23 2004.5585 53209 1280 5 -155.4  -4266 -0.233008   2150191  0.439371  2073  0.502380  0.0000 0.001090 0.001003 0.004760 -0.074624  0.176981  0.031468  19.4383526700 -155.4406256727  2073.50238
KFAP 04JUL24 2004.5613 53210 1280 6 -155.4  -4266 -0.231331   2150191  0.438346  2073  0.506003  0.0000 0.001093 0.001002 0.004850 -0.063150  0.210587  0.116183  19.4383526608 -155.4406256567  2073.50600
KFAP 04JUL25 2004.5640 53211 1281 0 -155.4  -4266 -0.232547   2150191  0.439630  2073  0.501733  0.0000 0.001177 0.001067 0.005086  0.016673  0.209898  0.127357  19.4383526724 -155.4406256683  2073.50173
KFAP 04JUL30 2004.5777 53216 1281 5 -155.4  -4266 -0.232674   2150191  0.439397  2073  0.503812  0.0000 0.001065 0.000953 0.004614 -0.089005  0.204673  0.043368  19.4383526703 -155.4406256695  2073.50381
KFAP 04JUL31 2004.5804 53217 1281 6 -155.4  -4266 -0.234911   2150191  0.439517  2073  0.502877  0.0000 0.001056 0.000908 0.004444 -0.090418  0.182666  0.032391  19.4383526713 -155.4406256908  2073.50288
KFAP 04AUG01 2004.5832 53218 1282 0 -155.4  -4266 -0.232205   2150191  0.438595  2073  0.507364  0.0000 0.001030 0.000917 0.004348 -0.124969  0.220678  0.051477  19.4383526630 -155.4406256650  2073.50736
KFAP 04AUG02 2004.5859 53219 1282 1 -155.4  -4266 -0.233554   2150191  0.436681  2073  0.507677  0.0000 0.001073 0.000948 0.004526 -0.057313  0.178097  0.036265  19.4383526457 -155.4406256779  2073.50768
KFAP 04AUG03 2004.5886 53220 1282 2 -155.4  -4266 -0.234008   2150191  0.436889  2073  0.502614  0.0000 0.001178 0.001056 0.005117 -0.089328  0.223869  0.126104  19.4383526476 -155.4406256822  2073.50261
KFAP 04AUG04 2004.5914 53221 1282 3 -155.4  -4266 -0.234621   2150191  0.438565  2073  0.500997  0.0000 0.001189 0.000982 0.005024 -0.092337  0.164201 -0.000699  19.4383526627 -155.4406256880  2073.50100
KFAP 04AUG05 2004.5941 53222 1282 4 -155.4  -4266 -0.232859   2150191  0.436871  2073  0.502819  0.0000 0.001088 0.000936 0.004636 -0.060625  0.215178  0.009498  19.4383526474 -155.4406256713  2073.50282
KFAP 04AUG06 2004.5969 53223 1282 5 -155.4  -4266 -0.232588   2150191  0.439266  2073  0.503601  0.0000 0.001068 0.000958 0.004593 -0.091309  0.139583  0.108990  19.4383526691 -155.4406256687  2073.50360
KFAP 04AUG07 2004.5996 53224 1282 6 -155.4  -4266 -0.236897   2150191  0.436400  2073  0.500303  0.0000 0.001109 0.000988 0.004937 -0.051717  0.198464  0.037054  19.4383526432 -155.4406257097  2073.50030
KFAP 04AUG08 2004.6023 53225 1283 0 -155.4  -4266 -0.234092   2150191  0.437669  2073  0.509963  0.0000 0.001039 0.000948 0.004452 -0.040326  0.187240  0.110618  19.4383526546 -155.4406256830  2073.50996
KFAP 04AUG09 2004.6051 53226 1283 1 -155.4  -4266 -0.236080   2150191  0.438641  2073  0.497398  0.0000 0.001072 0.000958 0.004555 -0.026361  0.224344  0.045173  19.4383526634 -155.4406257019  2073.49740
KFAP 04AUG10 2004.6078 53227 1283 2 -155.4  -4266 -0.233290   2150191  0.438325  2073  0.507386  0.0000 0.001083 0.000914 0.004458 -0.047203  0.169715  0.029046  19.4383526606 -155.4406256754  2073.50739
KFAP 04AUG11 2004.6105 53228 1283 3 -155.4  -4266 -0.232875   2150191  0.438369  2073  0.501704  0.0000 0.001024 0.000905 0.004256 -0.063356  0.171711 -0.001660  19.4383526610 -155.4406256714  2073.50170
KFAP 04AUG12 2004.6133 53229 1283 4 -155.4  -4266 -0.232969   2150191  0.438863  2073  0.500280  0.0000 0.001019 0.000902 0.004271 -0.058631  0.149123  0.005386  19.4383526654 -155.4406256723  2073.50028
KFAP 04AUG13 2004.6160 53230 1283 5 -155.4  -4266 -0.233857   2150191  0.437564  2073  0.500520  0.0000 0.001019 0.000957 0.004594 -0.022066  0.183115  0.042647  19.4383526537 -155.4406256808  2073.50052
KFAP 04AUG14 2004.6188 53231 1283 6 -155.4  -4266 -0.234650   2150191  0.440117  2073  0.505622  0.0000 0.001031 0.000934 0.004467 -0.062006  0.241094  0.087526  19.4383526768 -155.4406256883  2073.50562
KFAP 04AUG15 2004.6215 53232 1284 0 -155.4  -4266 -0.233437   2150191  0.440960  2073  0.516859  0.0000 0.001036 0.000929 0.004386 -0.053709  0.138897  0.086434  19.4383526844 -155.4406256768  2073.51686
KFAP 04AUG16 2004.6242 53233 1284 1 -155.4  -4266 -0.237679   2150191  0.441724  2073  0.503397  0.0000 0.001133 0.001087 0.005214 -0.029182  0.184108  0.129439  19.4383526913 -155.4406257172  2073.50340
KFAP 04AUG17 2004.6270 53234 1284 2 -155.4  -4266 -0.233783   2150191  0.440340  2073  0.499741  0.0000 0.001072 0.000980 0.004606 -0.092106  0.209084  0.120984  19.4383526788 -155.4406256801  2073.49974
KFAP 04AUG18 2004.6297 53235 1284 3 -155.4  -4266 -0.235097   2150191  0.440360  2073  0.498661  0.0000 0.000993 0.000905 0.004159 -0.077092  0.193918  0.050165  19.4383526790 -155.4406256926  2073.49866
KFAP 04AUG19 2004.6324 53236 1284 4 -155.4  -4266 -0.232028   2150191  0.440419  2073  0.505001  0.0000 0.001022 0.000986 0.004567 -0.049592  0.291561  0.178312  19.4383526795 -155.4406256634  2073.50500
KFAP 04AUG20 2004.6352 53237 1284 5 -155.4  -4266 -0.233726   2150191  0.441427  2073  0.492660  0.0000 0.001026 0.000935 0.004375 -0.046419  0.176845  0.059489  19.4383526886 -155.4406256795  2073.49266
KFAP 04AUG21 2004.6379 53238 1284 6 -155.4  -4266 -0.233886   2150191  0.439875  2073  0.500795  0.0000 0.001043 0.000930 0.004499 -0.009197  0.167255  0.002059  19.4383526746 -155.4406256811  2073.50080
KFAP 04AUG22 2004.6407 53239 1285 0 -155.4  -4266 -0.232009   2150191  0.440184  2073  0.520966  0.0000 0.001049 0.000935 0.004489 -0.049526  0.228414  0.082765  19.4383526774 -155.4406256632  2073.52097
KFAP 04AUG23 2004.6434 53240 1285 1 -155.4  -4266 -0.233066   2150191  0.441207  2073  0.512247  0.0000 0.001069 0.000989 0.004580 -0.016172  0.164735  0.122138  19.4383526866 -155.4406256732  2073.51225
KFAP 04AUG24 2004.6461 53241 1285 2 -155.4  -4266 -0.236612   2150191  0.440293  2073  0.496267  0.0000 0.001018 0.000875 0.004263 -0.061606  0.235493  0.096357  19.4383526783 -155.4406257070  2073.49627
KFAP 04AUG25 2004.6489 53242 1285 3 -155.4  -4266 -0.235759   2150191  0.443600  2073  0.506692  0.0000 0.001024 0.000908 0.004268 -0.044871  0.216241  0.056401  19.4383527082 -155.4406256989  2073.50669
KFAP 04AUG26 2004.6516 53243 1285 4 -155.4  -4266 -0.235112   2150191  0.444149  2073  0.511066  0.0000 0.001041 0.000977 0.004551 -0.018821  0.233136  0.156327  19.4383527132 -155.4406256927  2073.51107
KFAP 04AUG27 2004.6543 53244 1285 5 -155.4  -4266 -0.232780   2150191  0.443481  2073  0.515783  0.0000 0.001136 0.001010 0.004854 -0.045203  0.189450  0.080433  19.4383527071 -155.4406256705  2073.51578
KFAP 04AUG28 2004.6571 53245 1285 6 -155.4  -4266 -0.233080   2150191  0.442250  2073  0.504090  0.0000 0.001080 0.000989 0.004748  0.008017  0.194593  0.137316  19.4383526960 -155.4406256734  2073.50409
KFAP 04AUG29 2004.6598 53246 1286 0 -155.4  -4266 -0.237049   2150191  0.442290  2073  0.493464  0.0000 0.001134 0.001018 0.005127  0.005890  0.210201  0.019083  19.4383526964 -155.4406257112  2073.49346
KFAP 04AUG30 2004.6626 53247 1286 1 -155.4  -4266 -0.235423   2150191  0.440958  2073  0.502096  0.0000 0.001230 0.001007 0.004897 -0.134164  0.261629  0.117241  19.4383526844 -155.4406256957  2073.50210
KFAP 04AUG31 2004.6653 53248 1286 2 -155.4  -4266 -0.232168   2150191  0.440895  2073  0.507738  0.0000 0.001210 0.001062 0.005218 -0.130393  0.227074  0.051059  19.4383526838 -155.4406256647  2073.50774
KFAP 04SEP01 2004.6680 53249 1286 3 -155.4  -4266 -0.231613   2150191  0.442942  2073  0.501457  0.0000 0.001227 0.001033 0.004920 -0.068585  0.119947  0.036697  19.4383527023 -155.4406256594  2073.50146
KFAP 04SEP02 2004.6708 53250 1286 4 -155.4  -4266 -0.231839   2150191  0.442080  2073  0.507992  0.0000 0.001194 0.001035 0.005025 -0.099404  0.286828  0.156697  19.4383526945 -155.4406256616  2073.50799
KFAP 04SEP03 2004.6735 53251 1286 5 -155.4  -4266 -0.231341   2150191  0.439554  2073  0.511893  0.0000 0.001271 0.001102 0.005434 -0.132046  0.292015  0.117126  19.4383526717 -155.4406256568  2073.51189
KFAP 04SEP04 2004.6762 53252 1286 6 -155.4  -4266 -0.234116   2150191  0.440709  2073  0.508304  0.0000 0.001160 0.001012 0.004786 -0.101232  0.175807  0.086769  19.4383526821 -155.4406256832  2073.50830
