site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
KHKU 05MAR24 2005.2266 53453 1315 4 -155.6  -3843 -0.660771   2136720  0.924679  2641  0.451899  0.0000 0.000770 0.000682 0.002796 -0.003531  0.041512 -0.023487  19.3166640891 -155.6365745139  2641.45190
KHKU 05MAR25 2005.2293 53454 1315 5 -155.6  -3843 -0.660366   2136720  0.926114  2641  0.454030  0.0000 0.000770 0.000677 0.002772  0.006054  0.043642 -0.028161  19.3166641020 -155.6365745101  2641.45403
KHKU 05MAR26 2005.2320 53455 1315 6 -155.6  -3843 -0.659266   2136720  0.924439  2641  0.452467  0.0000 0.000782 0.000689 0.002875 -0.004925  0.016398 -0.025167  19.3166640869 -155.6365744996  2641.45247
KHKU 05MAR27 2005.2348 53456 1316 0 -155.6  -3843 -0.659930   2136720  0.924927  2641  0.447844  0.0000 0.000786 0.000690 0.002875 -0.002584  0.039347 -0.037750  19.3166640913 -155.6365745059  2641.44784
KHKU 05MAR28 2005.2375 53457 1316 1 -155.6  -3843 -0.660902   2136720  0.925451  2641  0.422959  0.0000 0.000787 0.000697 0.002909 -0.009201  0.025474 -0.031365  19.3166640960 -155.6365745152  2641.42296
KHKU 05MAR29 2005.2402 53458 1316 2 -155.6  -3843 -0.662580   2136720  0.927872  2641  0.429943  0.0000 0.000786 0.000700 0.002912  0.001688  0.018250 -0.056280  19.3166641179 -155.6365745312  2641.42994
KHKU 05MAR30 2005.2430 53459 1316 3 -155.6  -3843 -0.661600   2136720  0.927210  2641  0.434675  0.0000 0.000795 0.000704 0.002965  0.012434  0.001878 -0.030696  19.3166641119 -155.6365745218  2641.43468
KHKU 05MAR31 2005.2457 53460 1316 4 -155.6  -3843 -0.663974   2136720  0.929411  2641  0.441451  0.0000 0.000815 0.000708 0.002952  0.018196  0.049672 -0.026811  19.3166641318 -155.6365745444  2641.44145
KHKU 05APR01 2005.2485 53461 1316 5 -155.6  -3843 -0.663114   2136720  0.927314  2641  0.440216  0.0000 0.000793 0.000703 0.002958 -0.018735  0.029313 -0.026569  19.3166641129 -155.6365745362  2641.44022
KHKU 05APR02 2005.2512 53462 1316 6 -155.6  -3843 -0.663635   2136720  0.926743  2641  0.446467  0.0000 0.000784 0.000691 0.002862  0.014981  0.032412 -0.048761  19.3166641077 -155.6365745412  2641.44647
KHKU 05APR03 2005.2539 53463 1317 0 -155.6  -3843 -0.663948   2136720  0.927231  2641  0.453070  0.0000 0.000825 0.000722 0.003011  0.000173  0.026383 -0.046418  19.3166641121 -155.6365745442  2641.45307
KHKU 05APR04 2005.2567 53464 1317 1 -155.6  -3843 -0.662325   2136720  0.925937  2641  0.449055  0.0000 0.000818 0.000713 0.002933 -0.003766 -0.004416 -0.038807  19.3166641004 -155.6365745287  2641.44906
KHKU 05APR05 2005.2594 53465 1317 2 -155.6  -3843 -0.661584   2136720  0.926881  2641  0.450990  0.0000 0.000785 0.000688 0.002856  0.010684  0.029088 -0.069260  19.3166641090 -155.6365745217  2641.45099
KHKU 05APR06 2005.2621 53466 1317 3 -155.6  -3843 -0.661451   2136720  0.924537  2641  0.450097  0.0000 0.000799 0.000698 0.002914 -0.025467  0.057409 -0.055891  19.3166640878 -155.6365745204  2641.45010
KHKU 05APR07 2005.2649 53467 1317 4 -155.6  -3843 -0.660817   2136720  0.925656  2641  0.447465  0.0000 0.000777 0.000688 0.002814 -0.009658  0.069699 -0.055231  19.3166640979 -155.6365745144  2641.44747
KHKU 05APR08 2005.2676 53468 1317 5 -155.6  -3843 -0.664675   2136720  0.926483  2641  0.451082  0.0000 0.000806 0.000691 0.002824 -0.008572  0.019020 -0.045014  19.3166641054 -155.6365745511  2641.45108
KHKU 05APR09 2005.2704 53469 1317 6 -155.6  -3843 -0.663139   2136720  0.926563  2641  0.453730  0.0000 0.000794 0.000697 0.002834 -0.008911  0.028014 -0.025050  19.3166641061 -155.6365745365  2641.45373
KHKU 05APR10 2005.2731 53470 1318 0 -155.6  -3843 -0.664144   2136720  0.927973  2641  0.455859  0.0000 0.000813 0.000704 0.002944 -0.001211  0.080768 -0.034466  19.3166641188 -155.6365745461  2641.45586
KHKU 05APR11 2005.2758 53471 1318 1 -155.6  -3843 -0.665653   2136720  0.925071  2641  0.452875  0.0000 0.000815 0.000711 0.002948  0.008980  0.038091 -0.028225  19.3166640926 -155.6365745604  2641.45287
KHKU 05APR12 2005.2786 53472 1318 2 -155.6  -3843 -0.664177   2136720  0.925372  2641  0.452721  0.0000 0.000804 0.000696 0.002912 -0.010457  0.051354 -0.073247  19.3166640953 -155.6365745464  2641.45272
KHKU 05APR13 2005.2813 53473 1318 3 -155.6  -3843 -0.666833   2136720  0.926739  2641  0.450784  0.0000 0.000783 0.000702 0.002821 -0.013731  0.054242 -0.017537  19.3166641077 -155.6365745716  2641.45078
KHKU 05APR14 2005.2841 53474 1318 4 -155.6  -3843 -0.664274   2136720  0.926068  2641  0.453009  0.0000 0.000811 0.000731 0.003047 -0.017550  0.036246 -0.040362  19.3166641016 -155.6365745473  2641.45301
KHKU 05APR15 2005.2868 53475 1318 5 -155.6  -3843 -0.662244   2136720  0.925495  2641  0.448389  0.0000 0.000801 0.000702 0.002876 -0.007243  0.058640 -0.015922  19.3166640964 -155.6365745280  2641.44839
KHKU 05APR16 2005.2895 53476 1318 6 -155.6  -3843 -0.663865   2136720  0.927768  2641  0.443280  0.0000 0.000829 0.000731 0.003077 -0.001384  0.010834 -0.056940  19.3166641170 -155.6365745434  2641.44328
KHKU 05APR17 2005.2923 53477 1319 0 -155.6  -3843 -0.664408   2136720  0.925923  2641  0.452032  0.0000 0.000806 0.000692 0.002886  0.000077  0.029776 -0.018290  19.3166641003 -155.6365745486  2641.45203
KHKU 05APR18 2005.2950 53478 1319 1 -155.6  -3843 -0.663337   2136720  0.923618  2641  0.448632  0.0000 0.000787 0.000685 0.002850 -0.012985  0.063250 -0.041389  19.3166640795 -155.6365745384  2641.44863
KHKU 05APR19 2005.2977 53479 1319 2 -155.6  -3843 -0.660248   2136720  0.926842  2641  0.455940  0.0000 0.000790 0.000695 0.002862 -0.001799  0.088608 -0.029004  19.3166641086 -155.6365745090  2641.45594
KHKU 05APR20 2005.3005 53480 1319 3 -155.6  -3843 -0.662607   2136720  0.927403  2641  0.447305  0.0000 0.000793 0.000701 0.002876 -0.014220  0.046785 -0.005622  19.3166641137 -155.6365745314  2641.44730
KHKU 05APR21 2005.3032 53481 1319 4 -155.6  -3843 -0.663975   2136720  0.925798  2641  0.453405  0.0000 0.000803 0.000699 0.002904 -0.019162  0.064522 -0.040364  19.3166640992 -155.6365745444  2641.45340
