site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
KNNE 05MAR24 2005.2266 53453 1315 4 -155.7   1451  0.024388   2133284  0.897512  2468  0.330175  0.0000 0.000769 0.000675 0.002766 -0.013257  0.049742 -0.028700  19.2856237925 -155.6861953209  2468.33018
KNNE 05MAR25 2005.2293 53454 1315 5 -155.7   1451  0.025303   2133284  0.899027  2468  0.330218  0.0000 0.000766 0.000676 0.002751 -0.010261  0.063174 -0.027819  19.2856238062 -155.6861953122  2468.33022
KNNE 05MAR26 2005.2320 53455 1315 6 -155.7   1451  0.026030   2133284  0.897454  2468  0.326930  0.0000 0.000782 0.000682 0.002843 -0.015749  0.047961 -0.038012  19.2856237920 -155.6861953053  2468.32693
KNNE 05MAR27 2005.2348 53456 1316 0 -155.7   1451  0.024987   2133284  0.898695  2468  0.327896  0.0000 0.000786 0.000688 0.002887 -0.000497  0.029803 -0.064595  19.2856238032 -155.6861953152  2468.32790
KNNE 05MAR28 2005.2375 53457 1316 1 -155.7   1451  0.023666   2133284  0.896732  2468  0.319254  0.0000 0.000779 0.000688 0.002858 -0.036894  0.093702 -0.042314  19.2856237855 -155.6861953278  2468.31925
KNNE 05MAR29 2005.2402 53458 1316 2 -155.7   1451  0.020979   2133284  0.900053  2468  0.324464  0.0000 0.000775 0.000694 0.002834 -0.020752  0.045574 -0.040768  19.2856238155 -155.6861953533  2468.32446
KNNE 05MAR30 2005.2430 53459 1316 3 -155.7   1451  0.023575   2133284  0.899258  2468  0.323102  0.0000 0.000792 0.000700 0.002947  0.006141  0.036425 -0.031034  19.2856238083 -155.6861953286  2468.32310
KNNE 05MAR31 2005.2457 53460 1316 4 -155.7   1451  0.021609   2133284  0.901803  2468  0.320327  0.0000 0.000822 0.000713 0.002996  0.009841  0.045788 -0.028152  19.2856238313 -155.6861953473  2468.32033
KNNE 05APR01 2005.2485 53461 1316 5 -155.7   1451  0.022569   2133284  0.901661  2468  0.316305  0.0000 0.000796 0.000709 0.002970 -0.009359  0.008496 -0.021688  19.2856238300 -155.6861953382  2468.31630
KNNE 05APR02 2005.2512 53462 1316 6 -155.7   1451  0.021646   2133284  0.899424  2468  0.317703  0.0000 0.000796 0.000692 0.002897 -0.014364  0.045908 -0.051848  19.2856238098 -155.6861953470  2468.31770
KNNE 05APR03 2005.2539 53463 1317 0 -155.7   1451  0.021852   2133284  0.900119  2468  0.324058  0.0000 0.000826 0.000715 0.002952 -0.009862  0.060661 -0.031205  19.2856238161 -155.6861953450  2468.32406
KNNE 05APR04 2005.2567 53464 1317 1 -155.7   1451  0.024828   2133284  0.899019  2468  0.318171  0.0000 0.000831 0.000724 0.003026 -0.039879  0.063931 -0.063546  19.2856238061 -155.6861953167  2468.31817
