site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
MKEA 96OCT08 1996.7693 50364  874 2 -155.5   4575  0.094715   2190375  0.229744  3754  0.692657  0.0000 0.001113 0.001062 0.004914 -0.077963  0.081628 -0.099039  19.8013512366 -155.4563352388  3754.69266
MKEA 96OCT09 1996.7721 50365  874 3 -155.5   4575  0.095586   2190375  0.231130  3754  0.691117  0.0000 0.001118 0.001027 0.004814 -0.081540  0.096607 -0.055761  19.8013512491 -155.4563352305  3754.69112
MKEA 96OCT10 1996.7748 50366  874 4 -155.5   4575  0.091596   2190375  0.229039  3754  0.688416  0.0060 0.001067 0.000973 0.004568 -0.090568  0.004073 -0.093366  19.8013512302 -155.4563352686  3754.68842
MKEA 96OCT11 1996.7775 50367  874 5 -155.5   4575  0.098343   2190375  0.230776  3754  0.679202  0.0060 0.001063 0.000975 0.004516 -0.092767  0.039124 -0.075328  19.8013512459 -155.4563352042  3754.67920
MKEA 96OCT12 1996.7803 50368  874 6 -155.5   4575  0.097024   2190375  0.228771  3754  0.677831  0.0060 0.001093 0.000992 0.004566 -0.097691  0.069593 -0.019529  19.8013512278 -155.4563352168  3754.67783
MKEA 96OCT13 1996.7830 50369  875 0 -155.5   4575  0.102837   2190375  0.229409  3754  0.688779  0.0060 0.001124 0.001046 0.004785 -0.105332  0.085511 -0.032811  19.8013512336 -155.4563351613  3754.68878
MKEA 96OCT14 1996.7858 50370  875 1 -155.5   4575  0.096958   2190375  0.227502  3754  0.677872  0.0060 0.001182 0.001041 0.004696 -0.132033  0.068661 -0.033481  19.8013512163 -155.4563352174  3754.67787
MKEA 96OCT15 1996.7885 50371  875 2 -155.5   4575  0.096277   2190375  0.231012  3754  0.684862  0.0060 0.001098 0.001034 0.004777 -0.106908  0.085444 -0.098446  19.8013512480 -155.4563352239  3754.68486
MKEA 96OCT16 1996.7912 50372  875 3 -155.5   4575  0.097723   2190375  0.229142  3754  0.681391  0.0060 0.001198 0.001154 0.005196 -0.093623  0.083266 -0.083196  19.8013512311 -155.4563352101  3754.68139
MKEA 96OCT17 1996.7940 50373  875 4 -155.5   4575  0.098672   2190375  0.231657  3754  0.691233  0.0060 0.001114 0.001037 0.004824 -0.101053 -0.011611 -0.118610  19.8013512539 -155.4563352010  3754.69123
