site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
MLCC 04JUL02 2004.5010 53188 1277 5 -155.5    941  0.425842   2164007  0.747660  2886  0.903070  0.0000 0.000912 0.000840 0.003605  0.056434  0.033868  0.055676  19.5631633529 -155.4910282918  2886.90307
MLCC 04JUL03 2004.5038 53189 1277 6 -155.5    941  0.426150   2164007  0.747315  2886  0.902827  0.0000 0.000859 0.000790 0.003361  0.035049  0.024824  0.051605  19.5631633498 -155.4910282888  2886.90283
MLCC 04JUL04 2004.5065 53190 1278 0 -155.5    941  0.425642   2164007  0.747823  2886  0.903085  0.0000 0.000910 0.000815 0.003550  0.008240  0.090451  0.047213  19.5631633544 -155.4910282937  2886.90309
MLCC 04JUL05 2004.5092 53191 1278 1 -155.5    941  0.426404   2164007  0.748922  2886  0.903555  0.0000 0.000903 0.000828 0.003560  0.031219 -0.001141  0.082275  19.5631633643 -155.4910282864  2886.90356
MLCC 04JUL06 2004.5120 53192 1278 2 -155.5    941  0.426035   2164007  0.750783  2886  0.906555  0.0000 0.000883 0.000794 0.003396  0.049009  0.013374  0.014356  19.5631633811 -155.4910282899  2886.90656
MLCC 04JUL07 2004.5147 53193 1278 3 -155.5    941  0.427308   2164007  0.750166  2886  0.901994  0.0000 0.000924 0.000809 0.003586  0.026098 -0.009563  0.039457  19.5631633756 -155.4910282778  2886.90199
MLCC 04JUL08 2004.5175 53194 1278 4 -155.5    941  0.425225   2164007  0.748531  2886  0.902314  0.0000 0.000888 0.000823 0.003486  0.057365  0.049533  0.061044  19.5631633608 -155.4910282976  2886.90231
MLCC 04JUL09 2004.5202 53195 1278 5 -155.5    941  0.426829   2164007  0.749818  2886  0.902554  0.0000 0.000896 0.000822 0.003509  0.043254  0.051268  0.087539  19.5631633724 -155.4910282823  2886.90255
MLCC 04JUL10 2004.5229 53196 1278 6 -155.5    941  0.428286   2164007  0.749784  2886  0.906706  0.0000 0.000865 0.000819 0.003431  0.028515  0.103389  0.112626  19.5631633721 -155.4910282685  2886.90671
MLCC 04JUL11 2004.5257 53197 1279 0 -155.5    941  0.423575   2164007  0.752294  2886  0.904318  0.0000 0.000883 0.000815 0.003427  0.056792  0.030229  0.051971  19.5631633948 -155.4910283134  2886.90432
MLCC 04JUL12 2004.5284 53198 1279 1 -155.5    941  0.425790   2164007  0.749117  2886  0.897665  0.0000 0.000884 0.000812 0.003486  0.056597  0.053122  0.028195  19.5631633661 -155.4910282922  2886.89767
MLCC 04JUL13 2004.5311 53199 1279 2 -155.5    941  0.424927   2164007  0.749792  2886  0.903867  0.0000 0.000872 0.000806 0.003447  0.016349  0.090142  0.072791  19.5631633722 -155.4910283005  2886.90387
MLCC 04JUL14 2004.5339 53200 1279 3 -155.5    941  0.422658   2164007  0.749422  2886  0.898454  0.0000 0.000869 0.000798 0.003402 -0.005668  0.074091  0.065269  19.5631633688 -155.4910283221  2886.89845
MLCC 04JUL15 2004.5366 53201 1279 4 -155.5    941  0.423253   2164007  0.750555  2886  0.898994  0.0000 0.000874 0.000821 0.003473  0.048183  0.082359  0.081787  19.5631633791 -155.4910283164  2886.89899
MLCC 04JUL16 2004.5394 53202 1279 5 -155.5    941  0.424252   2164007  0.750347  2886  0.900404  0.0000 0.000895 0.000834 0.003655  0.012374  0.105123  0.022525  19.5631633772 -155.4910283069  2886.90040
MLCC 04JUL17 2004.5421 53203 1279 6 -155.5    941  0.424094   2164007  0.750155  2886  0.896332  0.0000 0.000837 0.000793 0.003341  0.001273  0.036305  0.058191  19.5631633755 -155.4910283084  2886.89633
MLCC 04JUL18 2004.5448 53204 1280 0 -155.5    941  0.423193   2164007  0.751772  2886  0.904548  0.0000 0.000847 0.000794 0.003401  0.027691  0.055785  0.024405  19.5631633901 -155.4910283170  2886.90455
MLCC 04JUL19 2004.5476 53205 1280 1 -155.5    941  0.424699   2164007  0.751414  2886  0.903410  0.0000 0.000859 0.000804 0.003485  0.030867  0.060667 -0.007678  19.5631633868 -155.4910283026  2886.90341
MLCC 04JUL20 2004.5503 53206 1280 2 -155.5    941  0.423620   2164007  0.750831  2886  0.900704  0.0000 0.000839 0.000813 0.003420  0.044410  0.072412  0.068392  19.5631633816 -155.4910283129  2886.90070
MLCC 04JUL21 2004.5530 53207 1280 3 -155.5    941  0.422658   2164007  0.752357  2886  0.898242  0.0000 0.000818 0.000789 0.003319  0.018995  0.091371  0.059557  19.5631633954 -155.4910283221  2886.89824
MLCC 04JUL22 2004.5558 53208 1280 4 -155.5    941  0.424836   2164007  0.752025  2886  0.901604  0.0000 0.000880 0.000835 0.003627  0.040923  0.099246  0.021116  19.5631633924 -155.4910283013  2886.90160
MLCC 04JUL23 2004.5585 53209 1280 5 -155.5    941  0.425530   2164007  0.754663  2886  0.906267  0.0000 0.000876 0.000832 0.003572  0.012478  0.083386  0.060419  19.5631634162 -155.4910282947  2886.90627
MLCC 04JUL24 2004.5613 53210 1280 6 -155.5    941  0.422153   2164007  0.749591  2886  0.904828  0.0000 0.000869 0.000859 0.003649  0.054614  0.145372  0.120720  19.5631633704 -155.4910283269  2886.90483
MLCC 04JUL25 2004.5640 53211 1281 0 -155.5    941  0.423872   2164007  0.752816  2886  0.911158  0.0000 0.000890 0.000860 0.003695  0.041996  0.136049  0.114236  19.5631633995 -155.4910283105  2886.91116
MLCC 04JUL26 2004.5667 53212 1281 1 -155.5    941  0.422145   2164007  0.750547  2886  0.907108  0.0000 0.000875 0.000835 0.003676  0.044351  0.104255  0.056229  19.5631633790 -155.4910283270  2886.90711
MLCC 04JUL27 2004.5695 53213 1281 2 -155.5    941  0.423817   2164007  0.750347  2886  0.900622  0.0000 0.000941 0.000880 0.003791  0.037702  0.185234  0.070415  19.5631633772 -155.4910283111  2886.90062
MLCC 04JUL28 2004.5722 53214 1281 3 -155.5    941  0.423713   2164007  0.749515  2886  0.897138  0.0000 0.000876 0.000819 0.003596  0.009970  0.117873  0.006978  19.5631633697 -155.4910283120  2886.89714
MLCC 04JUL29 2004.5749 53215 1281 4 -155.5    941  0.423209   2164007  0.750906  2886  0.902474  0.0000 0.000833 0.000797 0.003408  0.027176  0.092012  0.015163  19.5631633822 -155.4910283168  2886.90247
MLCC 04JUL30 2004.5777 53216 1281 5 -155.5    941  0.423143   2164007  0.752214  2886  0.904939  0.0000 0.000850 0.000819 0.003528  0.031358  0.116689  0.055324  19.5631633941 -155.4910283175  2886.90494
