site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
MLES 05MAR18 2005.2101 53447 1314 5 -155.6   4982  0.984025   2153065  0.903056  3841  0.445321  0.0000 0.000778 0.000698 0.002883 -0.012634  0.119899 -0.018719  19.4643195002 -155.5525414368  3841.44532
MLES 05MAR19 2005.2129 53448 1314 6 -155.6   4982  0.982176   2153065  0.904860  3841  0.445576  0.0000 0.000785 0.000689 0.002866 -0.008990  0.088347 -0.024465  19.4643195165 -155.5525414544  3841.44558
MLES 05MAR20 2005.2156 53449 1315 0 -155.6   4982  0.985619   2153065  0.905978  3841  0.437302  0.0000 0.000784 0.000689 0.002894 -0.012238  0.080387 -0.047472  19.4643195266 -155.5525414216  3841.43730
MLES 05MAR21 2005.2183 53450 1315 1 -155.6   4982  0.982130   2153065  0.903722  3841  0.444907  0.0000 0.000793 0.000692 0.002896 -0.024062  0.091547 -0.041312  19.4643195063 -155.5525414549  3841.44491
MLES 05MAR22 2005.2211 53451 1315 2 -155.6   4982  0.985383   2153065  0.903864  3841  0.449393  0.0000 0.000771 0.000689 0.002839 -0.021743  0.104146 -0.026485  19.4643195075 -155.5525414239  3841.44939
MLES 05MAR23 2005.2238 53452 1315 3 -155.6   4982  0.984672   2153065  0.902418  3841  0.454744  0.0000 0.000782 0.000692 0.002891 -0.020695  0.108372 -0.028438  19.4643194945 -155.5525414306  3841.45474
MLES 05MAR24 2005.2266 53453 1315 4 -155.6   4982  0.985502   2153065  0.902807  3841  0.446592  0.0000 0.000786 0.000693 0.002917 -0.017717  0.099593 -0.046430  19.4643194980 -155.5525414227  3841.44659
MLES 05MAR25 2005.2293 53454 1315 5 -155.6   4982  0.984746   2153065  0.903475  3841  0.445209  0.0000 0.000770 0.000684 0.002826 -0.019916  0.111066 -0.022071  19.4643195040 -155.5525414299  3841.44521
MLES 05MAR26 2005.2320 53455 1315 6 -155.6   4982  0.983004   2153065  0.902631  3841  0.447682  0.0000 0.000778 0.000690 0.002872 -0.030841  0.106348 -0.018760  19.4643194964 -155.5525414465  3841.44768
MLES 05MAR27 2005.2348 53456 1316 0 -155.6   4982  0.985163   2153065  0.903906  3841  0.447848  0.0000 0.000777 0.000690 0.002869 -0.016763  0.102970 -0.026640  19.4643195079 -155.5525414260  3841.44785
MLES 05MAR28 2005.2375 53457 1316 1 -155.6   4982  0.985757   2153065  0.904173  3841  0.439534  0.0000 0.000782 0.000695 0.002907 -0.012239  0.075927 -0.027906  19.4643195103 -155.5525414203  3841.43953
MLES 05MAR29 2005.2402 53458 1316 2 -155.6   4982  0.986000   2153065  0.906309  3841  0.431204  0.0000 0.000783 0.000704 0.002934 -0.031472  0.123159 -0.044378  19.4643195296 -155.5525414180  3841.43120
MLES 05MAR30 2005.2430 53459 1316 3 -155.6   4982  0.987811   2153065  0.905143  3841  0.428400  0.0000 0.000780 0.000699 0.002903 -0.025471  0.113642 -0.010217  19.4643195191 -155.5525414007  3841.42840
MLES 05MAR31 2005.2457 53460 1316 4 -155.6   4982  0.985336   2153065  0.905635  3841  0.436311  0.0000 0.000828 0.000729 0.003056  0.007425  0.079097 -0.028968  19.4643195235 -155.5525414243  3841.43631
MLES 05APR01 2005.2485 53461 1316 5 -155.6   4982  0.986848   2153065  0.908196  3841  0.447463  0.0000 0.000785 0.000699 0.002879 -0.029889  0.058729  0.000488  19.4643195467 -155.5525414099  3841.44746
MLES 05APR02 2005.2512 53462 1316 6 -155.6   4982  0.987324   2153065  0.906504  3841  0.449024  0.0000 0.000791 0.000688 0.002894 -0.021208  0.088463 -0.044763  19.4643195314 -155.5525414054  3841.44902
MLES 05APR03 2005.2539 53463 1317 0 -155.6   4982  0.987396   2153065  0.905406  3841  0.454152  0.0000 0.000813 0.000702 0.002929 -0.023158  0.085424 -0.045094  19.4643195215 -155.5525414047  3841.45415
MLES 05APR04 2005.2567 53464 1317 1 -155.6   4982  0.988115   2153065  0.904472  3841  0.453948  0.0000 0.000822 0.000719 0.002975 -0.013388  0.050511 -0.027963  19.4643195130 -155.5525413978  3841.45395
MLES 05APR05 2005.2594 53465 1317 2 -155.6   4982  0.989237   2153065  0.904031  3841  0.454925  0.0000 0.000767 0.000687 0.002793 -0.011083  0.095909 -0.029478  19.4643195090 -155.5525413872  3841.45493
MLES 05APR06 2005.2621 53466 1317 3 -155.6   4982  0.988198   2153065  0.903643  3841  0.451703  0.0000 0.000775 0.000693 0.002800 -0.027798  0.080051 -0.023651  19.4643195055 -155.5525413971  3841.45170
MLES 05APR07 2005.2649 53467 1317 4 -155.6   4982  0.990108   2153065  0.905315  3841  0.452688  0.0000 0.000775 0.000686 0.002776 -0.016759  0.104366 -0.023216  19.4643195206 -155.5525413789  3841.45269
MLES 05APR08 2005.2676 53468 1317 5 -155.6   4982  0.988547   2153065  0.905245  3841  0.453785  0.0000 0.000802 0.000700 0.002884 -0.027617  0.088945 -0.032292  19.4643195200 -155.5525413937  3841.45379
MLES 05APR09 2005.2704 53469 1317 6 -155.6   4982  0.989875   2153065  0.904909  3841  0.454663  0.0000 0.000786 0.000700 0.002831 -0.025339  0.099010 -0.009282  19.4643195170 -155.5525413811  3841.45466
MLES 05APR10 2005.2731 53470 1318 0 -155.6   4982  0.989129   2153065  0.906094  3841  0.459164  0.0000 0.000786 0.000697 0.002849 -0.009007  0.108782 -0.014552  19.4643195277 -155.5525413882  3841.45916
MLES 05APR11 2005.2758 53471 1318 1 -155.6   4982  0.988297   2153065  0.903913  3841  0.455691  0.0000 0.000789 0.000712 0.002855 -0.010811  0.098834  0.022432  19.4643195080 -155.5525413961  3841.45569
