site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
MLRD 05MAR21 2005.2183 53450 1315 1 -155.5  -3501 -0.593863   2163168  0.579555  3082  0.653125  0.0000 0.000804 0.000727 0.003015 -0.000300  0.079161  0.030046  19.5555827124 -155.5333683326  3082.65313
MLRD 05MAR22 2005.2211 53451 1315 2 -155.5  -3501 -0.592944   2163168  0.580271  3082  0.652214  0.0000 0.000777 0.000717 0.002909 -0.013661  0.109963  0.041330  19.5555827189 -155.5333683239  3082.65221
MLRD 05MAR23 2005.2238 53452 1315 3 -155.5  -3501 -0.595044   2163168  0.577989  3082  0.653676  0.0000 0.000774 0.000712 0.002880 -0.000257  0.105637  0.038443  19.5555826983 -155.5333683439  3082.65368
MLRD 05MAR24 2005.2266 53453 1315 4 -155.5  -3501 -0.594271   2163168  0.580722  3082  0.659261  0.0000 0.000788 0.000716 0.002945 -0.005020  0.094375  0.042377  19.5555827230 -155.5333683365  3082.65926
MLRD 05MAR25 2005.2293 53454 1315 5 -155.5  -3501 -0.595106   2163168  0.578737  3082  0.653041  0.0000 0.000793 0.000728 0.002994  0.026307  0.062408  0.022764  19.5555827050 -155.5333683445  3082.65304
MLRD 05MAR26 2005.2320 53455 1315 6 -155.5  -3501 -0.599592   2163168  0.578387  3082  0.652601  0.0000 0.000801 0.000726 0.003020  0.013267  0.080139  0.055968  19.5555827019 -155.5333683872  3082.65260
MLRD 05MAR27 2005.2348 53456 1316 0 -155.5  -3501 -0.595703   2163168  0.578199  3082  0.642491  0.0000 0.000780 0.000732 0.002980 -0.011715  0.095757  0.058217  19.5555827002 -155.5333683502  3082.64249
MLRD 05MAR28 2005.2375 53457 1316 1 -155.5  -3501 -0.594728   2163168  0.578630  3082  0.629568  0.0000 0.000782 0.000726 0.002967 -0.010484  0.110267  0.047133  19.5555827041 -155.5333683409  3082.62957
MLRD 05MAR29 2005.2402 53458 1316 2 -155.5  -3501 -0.595208   2163168  0.580764  3082  0.635483  0.0000 0.000799 0.000729 0.003013  0.007554  0.078532  0.006325  19.5555827234 -155.5333683454  3082.63548
MLRD 05MAR30 2005.2430 53459 1316 3 -155.5  -3501 -0.595576   2163168  0.579891  3082  0.631278  0.0000 0.000801 0.000727 0.003003 -0.005094  0.056916  0.053631  19.5555827155 -155.5333683489  3082.63128
MLRD 05MAR31 2005.2457 53460 1316 4 -155.5  -3501 -0.596839   2163168  0.584306  3082  0.647813  0.0000 0.000831 0.000758 0.003132  0.022773  0.038143  0.057466  19.5555827553 -155.5333683610  3082.64781
MLRD 05APR01 2005.2485 53461 1316 5 -155.5  -3501 -0.594924   2163168  0.581744  3082  0.651968  0.0000 0.000796 0.000725 0.003003  0.002276  0.108841  0.045051  19.5555827322 -155.5333683427  3082.65197
MLRD 05APR02 2005.2512 53462 1316 6 -155.5  -3501 -0.596317   2163168  0.581871  3082  0.647258  0.0000 0.000782 0.000714 0.002927  0.005634  0.071665  0.039737  19.5555827333 -155.5333683560  3082.64726
MLRD 05APR03 2005.2539 53463 1317 0 -155.5  -3501 -0.597069   2163168  0.580557  3082  0.646524  0.0000 0.000828 0.000731 0.003060  0.000193  0.098012  0.035176  19.5555827215 -155.5333683632  3082.64652
MLRD 05APR04 2005.2567 53464 1317 1 -155.5  -3501 -0.595865   2163168  0.579630  3082  0.651969  0.0000 0.000803 0.000727 0.002971 -0.029487  0.078355  0.023380  19.5555827131 -155.5333683517  3082.65197
MLRD 05APR05 2005.2594 53465 1317 2 -155.5  -3501 -0.594964   2163168  0.579667  3082  0.649559  0.0000 0.000785 0.000708 0.002883 -0.005760  0.065326 -0.005071  19.5555827134 -155.5333683431  3082.64956
MLRD 05APR06 2005.2621 53466 1317 3 -155.5  -3501 -0.596789   2163168  0.580028  3082  0.649816  0.0000 0.000791 0.000714 0.002900 -0.019529  0.060249  0.010183  19.5555827167 -155.5333683605  3082.64982
MLRD 05APR07 2005.2649 53467 1317 4 -155.5  -3501 -0.595628   2163168  0.581008  3082  0.649659  0.0000 0.000786 0.000713 0.002899 -0.009711  0.100291  0.022078  19.5555827256 -155.5333683494  3082.64966
MLRD 05APR08 2005.2676 53468 1317 5 -155.5  -3501 -0.596746   2163168  0.579115  3082  0.647035  0.0000 0.000792 0.000728 0.002947  0.007691  0.109018  0.055743  19.5555827085 -155.5333683601  3082.64704
MLRD 05APR09 2005.2704 53469 1317 6 -155.5  -3501 -0.594333   2163168  0.579236  3082  0.651470  0.0000 0.000790 0.000715 0.002874 -0.011953  0.050746  0.037246  19.5555827095 -155.5333683371  3082.65147
