site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
MOKP 00DEC09 2000.9391 51887 1091 6 -155.6     65  0.679254   2155393  0.668752  4132  0.724275  0.1140 0.000790 0.000782 0.003142 -0.017749  0.029490  0.089659  19.4853476108 -155.5993743819  4132.72428
MOKP 00DEC10 2000.9418 51888 1092 0 -155.6     65  0.681522   2155393  0.667749  4132  0.725414  0.1140 0.000805 0.000785 0.003174 -0.029597 -0.005569  0.018838  19.4853476017 -155.5993743603  4132.72541
MOKP 00DEC11 2000.9446 51889 1092 1 -155.6     65  0.682126   2155393  0.669232  4132  0.735748  0.1140 0.000797 0.000805 0.003245 -0.026986  0.001915  0.029766  19.4853476151 -155.5993743545  4132.73575
MOKP 00DEC12 2000.9473 51890 1092 2 -155.6     65  0.678428   2155393  0.667603  4132  0.739536  0.1140 0.000802 0.000786 0.003225 -0.053193  0.069927  0.050259  19.4853476004 -155.5993743897  4132.73954
MOKP 00DEC13 2000.9500 51891 1092 3 -155.6     65  0.679889   2155393  0.669731  4132  0.732213  0.1140 0.000822 0.000789 0.003189 -0.062192  0.061242  0.048200  19.4853476196 -155.5993743758  4132.73221
MOKP 00DEC14 2000.9528 51892 1092 4 -155.6     65  0.678128   2155393  0.668936  4132  0.724776  0.1140 0.000779 0.000756 0.003072 -0.035754  0.026023  0.014153  19.4853476124 -155.5993743926  4132.72478
MOKP 00DEC15 2000.9555 51893 1092 5 -155.6     65  0.677387   2155393  0.667601  4132  0.728352  0.1140 0.000778 0.000759 0.003047 -0.036656  0.025915  0.012699  19.4853476004 -155.5993743996  4132.72835
MOKP 00DEC16 2000.9582 51894 1092 6 -155.6     65  0.678197   2155393  0.668177  4132  0.725568  0.1140 0.000776 0.000766 0.003071 -0.049213  0.032138  0.041093  19.4853476056 -155.5993743919  4132.72557
MOKP 00DEC17 2000.9610 51895 1093 0 -155.6     65  0.682742   2155393  0.674202  4132  0.734644  0.1140 0.000821 0.000820 0.003231 -0.060326 -0.015144  0.060499  19.4853476600 -155.5993743486  4132.73464
MOKP 00DEC18 2000.9637 51896 1093 1 -155.6     65  0.677665   2155393  0.673388  4132  0.740089  0.1140 0.000789 0.000816 0.003147 -0.078450  0.055026  0.088152  19.4853476527 -155.5993743970  4132.74009
MOKP 00DEC19 2000.9665 51897 1093 2 -155.6     65  0.677041   2155393  0.670984  4132  0.738972  0.1140 0.000828 0.000837 0.003273 -0.091610  0.078349  0.050617  19.4853476309 -155.5993744029  4132.73897
MOKP 00DEC20 2000.9692 51898 1093 3 -155.6     65  0.677311   2155393  0.669235  4132  0.735858  0.1140 0.000775 0.000784 0.003117 -0.062996  0.026802  0.047270  19.4853476151 -155.5993744004  4132.73586
MOKP 00DEC21 2000.9719 51899 1093 4 -155.6     65  0.679561   2155393  0.668454  4132  0.736227  0.1140 0.000790 0.000814 0.003142 -0.077599  0.056940  0.089189  19.4853476081 -155.5993743789  4132.73623
