site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
PAT3 02NOV01 2002.8337 52579 1190 5 -155.6   2971  0.396259   2149315  0.173128  3831  0.423370  0.0810 0.001339 0.001138 0.005759 -0.113378  0.169862  0.046515  19.4304367936 -155.5717059236  3831.42337
PAT3 02NOV02 2002.8364 52580 1190 6 -155.6   2971  0.394151   2149315  0.174696  3831  0.415527  0.0810 0.001253 0.001201 0.005779  0.000241  0.204877  0.042938  19.4304368078 -155.5717059437  3831.41553
PAT3 02NOV03 2002.8392 52581 1191 0 -155.6   2971  0.395350   2149315  0.172669  3831  0.423921  0.0810 0.001267 0.001153 0.005703 -0.060511  0.210410  0.127350  19.4304367895 -155.5717059323  3831.42392
PAT3 02NOV04 2002.8419 52582 1191 1 -155.6   2971  0.394790   2149315  0.174434  3831  0.417262  0.0810 0.001244 0.001127 0.005610 -0.050541  0.242662  0.043582  19.4304368054 -155.5717059376  3831.41726
PAT3 02NOV05 2002.8446 52583 1191 2 -155.6   2971  0.395479   2149315  0.173585  3831  0.425767  0.0810 0.001240 0.001100 0.005401 -0.033580  0.249216  0.067177  19.4304367978 -155.5717059310  3831.42577
PAT3 02NOV06 2002.8474 52584 1191 3 -155.6   2971  0.396975   2149315  0.174790  3831  0.415671  0.0810 0.001299 0.001171 0.005734 -0.028903  0.212759  0.082247  19.4304368086 -155.5717059168  3831.41567
PAT3 02NOV07 2002.8501 52585 1191 4 -155.6   2971  0.395370   2149315  0.172550  3831  0.417564  0.0810 0.001316 0.001171 0.005967 -0.028689  0.297984  0.056164  19.4304367884 -155.5717059321  3831.41756
PAT3 02NOV08 2002.8528 52586 1191 5 -155.6   2971  0.393407   2149315  0.174178  3831  0.422198  0.0810 0.001274 0.001107 0.005595 -0.082427  0.241388  0.025966  19.4304368031 -155.5717059508  3831.42220
PAT3 02NOV09 2002.8556 52587 1191 6 -155.6   2971  0.394004   2149315  0.172193  3831  0.427042  0.0810 0.001292 0.001182 0.005948 -0.071736  0.251454  0.045002  19.4304367852 -155.5717059451  3831.42704
PAT3 02NOV10 2002.8583 52588 1192 0 -155.6   2971  0.390289   2149315  0.175618  3831  0.423106  0.0810 0.001253 0.001177 0.005932 -0.082796  0.304754  0.062893  19.4304368161 -155.5717059805  3831.42311
