site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
PHAN 06JAN25 2006.0671 53760 1359 3 -155.6  -4030 -0.282512   2151143  0.814516  3700  0.590900  0.0000 0.000774 0.000669 0.002786  0.001386  0.002244 -0.044543  19.4469560792 -155.6383808303  3700.59090
PHAN 06JAN26 2006.0698 53761 1359 4 -155.6  -4030 -0.281407   2151143  0.814223  3700  0.572996  0.0000 0.000817 0.000712 0.003066 -0.000614  0.061180 -0.048237  19.4469560766 -155.6383808198  3700.57300
PHAN 06JAN27 2006.0726 53762 1359 5 -155.6  -4030 -0.281745   2151143  0.814745  3700  0.589642  0.0000 0.000790 0.000677 0.002830  0.005788 -0.016697 -0.046554  19.4469560813 -155.6383808230  3700.58964
PHAN 06JAN28 2006.0753 53763 1359 6 -155.6  -4030 -0.284446   2151143  0.815093  3700  0.586583  0.0000 0.000790 0.000683 0.002868  0.010243  0.002979 -0.046005  19.4469560844 -155.6383808488  3700.58658
PHAN 06JAN30 2006.0808 53765 1360 1 -155.6  -4030 -0.283629   2151143  0.814213  3700  0.596304  0.0000 0.000783 0.000674 0.002789 -0.004760  0.004029 -0.049639  19.4469560765 -155.6383808410  3700.59630
PHAN 06JAN31 2006.0835 53766 1360 2 -155.6  -4030 -0.280438   2151143  0.813525  3700  0.599342  0.0000 0.000777 0.000669 0.002746 -0.000434 -0.014552 -0.055672  19.4469560703 -155.6383808106  3700.59934
PHAN 06FEB01 2006.0862 53767 1360 3 -155.6  -4030 -0.283281   2151143  0.814251  3700  0.601077  0.0000 0.000777 0.000672 0.002748  0.001847  0.006401 -0.033973  19.4469560768 -155.6383808377  3700.60108
PHAN 06FEB02 2006.0890 53768 1360 4 -155.6  -4030 -0.284894   2151143  0.814102  3700  0.604545  0.0000 0.000783 0.000682 0.002809 -0.005592  0.000180 -0.038743  19.4469560755 -155.6383808530  3700.60454
PHAN 06FEB03 2006.0917 53769 1360 5 -155.6  -4030 -0.289027   2151143  0.812656  3700  0.608019  0.0000 0.000789 0.000682 0.002822  0.007066 -0.014780 -0.026021  19.4469560624 -155.6383808924  3700.60802
PHAN 06FEB04 2006.0945 53770 1360 6 -155.6  -4030 -0.287797   2151143  0.811742  3700  0.605121  0.0000 0.000786 0.000674 0.002772  0.005375 -0.014499 -0.067803  19.4469560542 -155.6383808807  3700.60512
PHAN 06FEB05 2006.0972 53771 1361 0 -155.6  -4030 -0.284449   2151143  0.813581  3700  0.600526  0.0000 0.000785 0.000671 0.002745 -0.014494 -0.004194 -0.057931  19.4469560708 -155.6383808488  3700.60053
PHAN 06FEB07 2006.1027 53773 1361 2 -155.6  -4030 -0.286795   2151143  0.815478  3700  0.602623  0.0000 0.000789 0.000680 0.002782 -0.008853 -0.014011 -0.060629  19.4469560879 -155.6383808711  3700.60262
PHAN 06FEB08 2006.1054 53774 1361 3 -155.6  -4030 -0.286525   2151143  0.815392  3700  0.604745  0.0000 0.000789 0.000686 0.002813  0.001048 -0.013342 -0.046447  19.4469560871 -155.6383808686  3700.60474
PHAN 06FEB09 2006.1081 53775 1361 4 -155.6  -4030 -0.287569   2151143  0.814451  3700  0.607755  0.0000 0.000816 0.000686 0.002811 -0.021575  0.006486 -0.045098  19.4469560786 -155.6383808785  3700.60776
PHAN 06FEB10 2006.1109 53776 1361 5 -155.6  -4030 -0.290495   2151143  0.814492  3700  0.611961  0.0000 0.000863 0.000700 0.002917 -0.031630  0.018537 -0.037661  19.4469560790 -155.6383809064  3700.61196
PHAN 06FEB11 2006.1136 53777 1361 6 -155.6  -4030 -0.287492   2151143  0.814148  3700  0.608455  0.0000 0.000794 0.000683 0.002786 -0.015244  0.020040 -0.057990  19.4469560759 -155.6383808778  3700.60845
