site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
PIIK 05MAR22 2005.2211 53451 1315 2 -155.6   3777  0.655079   2137349  0.080296  2308  0.332746  0.0000 0.000787 0.000687 0.002881 -0.014502  0.093072 -0.045775  19.3223386942 -155.5640523253  2308.33275
PIIK 05MAR23 2005.2238 53452 1315 3 -155.6   3777  0.653246   2137349  0.078829  2308  0.332441  0.0000 0.001044 0.000899 0.003631 -0.046547  0.108673  0.006158  19.3223386810 -155.5640523427  2308.33244
PIIK 05MAR31 2005.2457 53460 1316 4 -155.6   3777  0.650935   2137349  0.082898  2308  0.331569  0.0000 0.000868 0.000760 0.003178  0.035217  0.049040 -0.041237  19.3223387177 -155.5640523647  2308.33157
PIIK 05APR01 2005.2485 53461 1316 5 -155.6   3777  0.652562   2137349  0.082724  2308  0.323066  0.0000 0.000796 0.000704 0.002971  0.003630  0.046186 -0.016783  19.3223387162 -155.5640523492  2308.32307
PIIK 05APR02 2005.2512 53462 1316 6 -155.6   3777  0.652644   2137349  0.081188  2308  0.332433  0.0000 0.000783 0.000693 0.002905 -0.017269  0.068740 -0.057204  19.3223387023 -155.5640523484  2308.33243
PIIK 05APR03 2005.2539 53463 1317 0 -155.6   3777  0.652306   2137349  0.080725  2308  0.330515  0.0000 0.000839 0.000722 0.003028 -0.025252  0.047640 -0.030087  19.3223386981 -155.5640523517  2308.33051
PIIK 05APR04 2005.2567 53464 1317 1 -155.6   3777  0.652126   2137349  0.079970  2308  0.335246  0.0000 0.000810 0.000715 0.002984 -0.033539  0.064689 -0.041482  19.3223386913 -155.5640523534  2308.33525
PIIK 05APR05 2005.2594 53465 1317 2 -155.6   3777  0.653948   2137349  0.080619  2308  0.332502  0.0000 0.000781 0.000687 0.002817 -0.011555  0.070644 -0.050106  19.3223386971 -155.5640523360  2308.33250
PIIK 05APR06 2005.2621 53466 1317 3 -155.6   3777  0.651638   2137349  0.080440  2308  0.331898  0.0000 0.000823 0.000697 0.002956 -0.051891  0.086813 -0.082927  19.3223386955 -155.5640523580  2308.33190
PIIK 05APR07 2005.2649 53467 1317 4 -155.6   3777  0.653109   2137349  0.081267  2308  0.332937  0.0000 0.000805 0.000691 0.002883 -0.026352  0.069174 -0.075704  19.3223387030 -155.5640523440  2308.33294
PIIK 05APR08 2005.2676 53468 1317 5 -155.6   3777  0.649920   2137349  0.080701  2308  0.331815  0.0000 0.000779 0.000692 0.002784 -0.038127  0.077214 -0.027569  19.3223386979 -155.5640523744  2308.33182
PIIK 05APR09 2005.2704 53469 1317 6 -155.6   3777  0.651844   2137349  0.080975  2308  0.337431  0.0000 0.000779 0.000696 0.002799 -0.030651  0.085660 -0.012395  19.3223387004 -155.5640523561  2308.33743
PIIK 05APR10 2005.2731 53470 1318 0 -155.6   3777  0.651879   2137349  0.082246  2308  0.333978  0.0000 0.000807 0.000696 0.002893 -0.033314  0.088534 -0.025003  19.3223387118 -155.5640523557  2308.33398
PIIK 05APR11 2005.2758 53471 1318 1 -155.6   3777  0.650091   2137349  0.080061  2308  0.328161  0.0000 0.000800 0.000712 0.002909 -0.023327  0.098990 -0.002410  19.3223386921 -155.5640523727  2308.32816
PIIK 05APR12 2005.2786 53472 1318 2 -155.6   3777  0.652050   2137349  0.080217  2308  0.324794  0.0000 0.000802 0.000697 0.002909 -0.022527  0.094072 -0.069454  19.3223386935 -155.5640523541  2308.32479
PIIK 05APR13 2005.2813 53473 1318 3 -155.6   3777  0.648768   2137349  0.080782  2308  0.330974  0.0000 0.000791 0.000707 0.002903 -0.046272  0.102492 -0.037182  19.3223386986 -155.5640523853  2308.33097
PIIK 05APR14 2005.2841 53474 1318 4 -155.6   3777  0.651556   2137349  0.080707  2308  0.322403  0.0000 0.000785 0.000715 0.002913 -0.031488  0.076193 -0.021712  19.3223386979 -155.5640523588  2308.32240
PIIK 05APR15 2005.2868 53475 1318 5 -155.6   3777  0.653378   2137349  0.079912  2308  0.323508  0.0000 0.000823 0.000707 0.002983  0.008898  0.051689 -0.033019  19.3223386908 -155.5640523415  2308.32351
PIIK 05APR16 2005.2895 53476 1318 6 -155.6   3777  0.653098   2137349  0.080001  2308  0.329891  0.0000 0.000842 0.000738 0.003114 -0.007960  0.019472 -0.044684  19.3223386916 -155.5640523441  2308.32989
PIIK 05APR17 2005.2923 53477 1319 0 -155.6   3777  0.651599   2137349  0.081377  2308  0.324968  0.0000 0.000818 0.000699 0.002981 -0.008208  0.082413 -0.028143  19.3223387040 -155.5640523584  2308.32497
PIIK 05APR18 2005.2950 53478 1319 1 -155.6   3777  0.651361   2137349  0.079310  2308  0.324837  0.0000 0.000788 0.000684 0.002865 -0.014030  0.086606 -0.070333  19.3223386853 -155.5640523607  2308.32484
PIIK 05APR19 2005.2977 53479 1319 2 -155.6   3777  0.653859   2137349  0.081712  2308  0.333213  0.0000 0.000791 0.000692 0.002894 -0.020673  0.095820 -0.051066  19.3223387070 -155.5640523369  2308.33321
PIIK 05APR20 2005.3005 53480 1319 3 -155.6   3777  0.652804   2137349  0.081689  2308  0.329901  0.0000 0.000793 0.000702 0.002912 -0.033150  0.111895 -0.018470  19.3223387068 -155.5640523469  2308.32990
PIIK 05APR21 2005.3032 53481 1319 4 -155.6   3777  0.651290   2137349  0.079129  2308  0.334101  0.0000 0.000795 0.000692 0.002829 -0.045851  0.078595 -0.026747  19.3223386837 -155.5640523613  2308.33410
PIIK 05APR22 2005.3060 53482 1319 5 -155.6   3777  0.650203   2137349  0.079195  2308  0.340817  0.0000 0.000784 0.000696 0.002822 -0.045097  0.078498 -0.019887  19.3223386843 -155.5640523717  2308.34082
PIIK 05APR23 2005.3087 53483 1319 6 -155.6   3777  0.650511   2137349  0.077617  2308  0.340344  0.0000 0.000818 0.000703 0.002968 -0.026527  0.097188 -0.054150  19.3223386700 -155.5640523688  2308.34034
PIIK 05APR24 2005.3114 53484 1320 0 -155.6   3777  0.650950   2137349  0.078159  2308  0.334984  0.0000 0.000812 0.000706 0.002965 -0.036240  0.112044 -0.027096  19.3223386749 -155.5640523646  2308.33498
PIIK 05APR25 2005.3142 53485 1320 1 -155.6   3777  0.650276   2137349  0.079279  2308  0.342000  0.0000 0.000794 0.000699 0.002872 -0.026045  0.086533 -0.020539  19.3223386850 -155.5640523710  2308.34200
PIIK 05APR26 2005.3169 53486 1320 2 -155.6   3777  0.650350   2137349  0.081716  2308  0.338636  0.0000 0.000804 0.000693 0.002888  0.002005  0.081648 -0.036709  19.3223387071 -155.5640523703  2308.33864
PIIK 05APR27 2005.3196 53487 1320 3 -155.6   3777  0.651651   2137349  0.080620  2308  0.331420  0.0000 0.000806 0.000709 0.002908 -0.010477  0.060133 -0.008288  19.3223386971 -155.5640523579  2308.33142
PIIK 05APR28 2005.3224 53488 1320 4 -155.6   3777  0.649778   2137349  0.079232  2308  0.335280  0.0000 0.000788 0.000717 0.002935 -0.047018  0.099769 -0.008871  19.3223386846 -155.5640523757  2308.33528
PIIK 05APR29 2005.3251 53489 1320 5 -155.6   3777  0.646353   2137349  0.078845  2308  0.331535  0.0000 0.000802 0.000711 0.002906 -0.010513  0.067531  0.012765  19.3223386811 -155.5640524083  2308.33154
PIIK 05APR30 2005.3279 53490 1320 6 -155.6   3777  0.649778   2137349  0.080387  2308  0.333254  0.0000 0.000802 0.000707 0.002916 -0.008457  0.050703 -0.022293  19.3223386950 -155.5640523757  2308.33325
PIIK 05MAY01 2005.3306 53491 1321 0 -155.6   3777  0.648744   2137349  0.079852  2308  0.339757  0.0000 0.000781 0.000694 0.002820 -0.016690  0.103069 -0.005539  19.3223386902 -155.5640523856  2308.33976
PIIK 05MAY02 2005.3333 53492 1321 1 -155.6   3777  0.645547   2137349  0.079029  2308  0.339231  0.0000 0.000791 0.000698 0.002901 -0.015524  0.093224 -0.042159  19.3223386828 -155.5640524160  2308.33923
PIIK 05MAY03 2005.3361 53493 1321 2 -155.6   3777  0.647188   2137349  0.080633  2308  0.339967  0.0000 0.000793 0.000702 0.002948 -0.016636  0.052541 -0.015487  19.3223386973 -155.5640524004  2308.33997
PIIK 05MAY04 2005.3388 53494 1321 3 -155.6   3777  0.648859   2137349  0.082005  2308  0.336070  0.0000 0.000801 0.000693 0.002882 -0.020219  0.056556 -0.034088  19.3223387097 -155.5640523845  2308.33607
PIIK 05MAY05 2005.3415 53495 1321 4 -155.6   3777  0.648586   2137349  0.080981  2308  0.340360  0.0000 0.000780 0.000685 0.002831 -0.016013  0.061182 -0.021047  19.3223387004 -155.5640523871  2308.34036
PIIK 05MAY06 2005.3443 53496 1321 5 -155.6   3777  0.647921   2137349  0.081223  2308  0.337252  0.0000 0.000786 0.000702 0.002904 -0.019972  0.082893 -0.027812  19.3223387026 -155.5640523934  2308.33725
PIIK 05MAY07 2005.3470 53497 1321 6 -155.6   3777  0.647955   2137349  0.081570  2308  0.335685  0.0000 0.000786 0.000689 0.002886 -0.042757  0.104079 -0.044415  19.3223387057 -155.5640523931  2308.33569
PIIK 05MAY08 2005.3498 53498 1322 0 -155.6   3777  0.647864   2137349  0.080107  2308  0.337655  0.0000 0.000788 0.000692 0.002853 -0.023832  0.079652 -0.005051  19.3223386925 -155.5640523939  2308.33765
PIIK 05MAY09 2005.3525 53499 1322 1 -155.6   3777  0.646231   2137349  0.081696  2308  0.342068  0.0000 0.000781 0.000694 0.002902 -0.013205  0.074824 -0.038487  19.3223387069 -155.5640524095  2308.34207
PIIK 05MAY10 2005.3552 53500 1322 2 -155.6   3777  0.643568   2137349  0.080436  2308  0.343035  0.0000 0.000818 0.000706 0.002884  0.005335  0.043020 -0.021278  19.3223386955 -155.5640524348  2308.34304
PIIK 05MAY11 2005.3580 53501 1322 3 -155.6   3777  0.646221   2137349  0.082074  2308  0.341419  0.0000 0.000822 0.000712 0.002920  0.012666  0.065601 -0.006846  19.3223387103 -155.5640524096  2308.34142
PIIK 05MAY12 2005.3607 53502 1322 4 -155.6   3777  0.645688   2137349  0.082711  2308  0.337530  0.0000 0.000784 0.000703 0.002919 -0.026856  0.058369 -0.009144  19.3223387160 -155.5640524146  2308.33753
PIIK 05MAY13 2005.3634 53503 1322 5 -155.6   3777  0.646724   2137349  0.081593  2308  0.338449  0.0000 0.000798 0.000705 0.002972 -0.045194  0.110316 -0.045666  19.3223387059 -155.5640524048  2308.33845
PIIK 05MAY14 2005.3662 53504 1322 6 -155.6   3777  0.644121   2137349  0.082117  2308  0.332176  0.0000 0.000778 0.000713 0.002920  0.003565  0.060400  0.000257  19.3223387107 -155.5640524295  2308.33218
PIIK 05MAY15 2005.3689 53505 1323 0 -155.6   3777  0.643878   2137349  0.081528  2308  0.329689  0.0000 0.000816 0.000736 0.003107  0.023076  0.122708  0.002029  19.3223387054 -155.5640524319  2308.32969
PIIK 05MAY16 2005.3717 53506 1323 1 -155.6   3777  0.644536   2137349  0.079892  2308  0.341658  0.0000 0.000791 0.000714 0.002932  0.022585  0.088206  0.003344  19.3223386906 -155.5640524256  2308.34166
PIIK 05MAY17 2005.3744 53507 1323 2 -155.6   3777  0.643052   2137349  0.082660  2308  0.332260  0.0000 0.000806 0.000712 0.002930 -0.007760  0.065673 -0.009211  19.3223387156 -155.5640524397  2308.33226
PIIK 05MAY18 2005.3771 53508 1323 3 -155.6   3777  0.643949   2137349  0.082142  2308  0.335473  0.0000 0.000812 0.000720 0.002985 -0.016168  0.096205 -0.007775  19.3223387109 -155.5640524312  2308.33547
PIIK 05MAY19 2005.3799 53509 1323 4 -155.6   3777  0.643415   2137349  0.082481  2308  0.335107  0.0000 0.000800 0.000708 0.003023 -0.019575  0.095246 -0.062616  19.3223387140 -155.5640524363  2308.33511
PIIK 05MAY20 2005.3826 53510 1323 5 -155.6   3777  0.646928   2137349  0.082777  2308  0.337553  0.0000 0.000854 0.000757 0.003258  0.012989  0.099672  0.023995  19.3223387166 -155.5640524028  2308.33755
PIIK 05MAY21 2005.3854 53511 1323 6 -155.6   3777  0.645185   2137349  0.081408  2308  0.328765  0.0000 0.000795 0.000715 0.003041  0.011707  0.069243 -0.001738  19.3223387043 -155.5640524194  2308.32876
PIIK 05MAY22 2005.3881 53512 1324 0 -155.6   3777  0.644886   2137349  0.081677  2308  0.328885  0.0000 0.000794 0.000702 0.002971  0.004883  0.050622 -0.048477  19.3223387067 -155.5640524223  2308.32888
PIIK 05MAY23 2005.3908 53513 1324 1 -155.6   3777  0.642928   2137349  0.081955  2308  0.328442  0.0000 0.000791 0.000710 0.003025 -0.016273  0.092114 -0.041638  19.3223387092 -155.5640524409  2308.32844
PIIK 05MAY24 2005.3936 53514 1324 2 -155.6   3777  0.643672   2137349  0.081638  2308  0.342220  0.0000 0.000789 0.000710 0.002986 -0.002635  0.047915 -0.038613  19.3223387063 -155.5640524338  2308.34222
