site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
RADF 05MAR25 2005.2293 53454 1315 5 -155.4  -3290 -0.686063   2166312  0.540426  2414  0.047816  0.0000 0.000775 0.000713 0.002910  0.001207  0.082111  0.030865  19.5839837080 -155.4313639865  2414.04782
RADF 05MAR26 2005.2320 53455 1315 6 -155.4  -3290 -0.684243   2166312  0.539757  2414  0.048976  0.0000 0.000786 0.000720 0.002991 -0.007697  0.115953  0.079070  19.5839837019 -155.4313639692  2414.04898
RADF 05MAR27 2005.2348 53456 1316 0 -155.4  -3290 -0.687104   2166312  0.539005  2414  0.009297  0.0000 0.000787 0.000721 0.002967 -0.027446  0.072803  0.040584  19.5839836952 -155.4313639964  2414.00930
RADF 05MAR28 2005.2375 53457 1316 1 -155.4  -3290 -0.690188   2166312  0.538040  2414  0.008286  0.0000 0.000782 0.000709 0.002915  0.004111  0.060710  0.010278  19.5839836864 -155.4313640258  2414.00829
RADF 05MAR29 2005.2402 53458 1316 2 -155.4  -3290 -0.689035   2166312  0.540457  2414  0.003292  0.0000 0.000795 0.000728 0.002995 -0.027463  0.061104  0.000177  19.5839837083 -155.4313640149  2414.00329
RADF 05MAR30 2005.2430 53459 1316 3 -155.4  -3290 -0.688355   2166312  0.538433  2414  0.008006  0.0000 0.000803 0.000731 0.003039  0.006071  0.006560  0.039351  19.5839836900 -155.4313640084  2414.00801
RADF 05MAR31 2005.2457 53460 1316 4 -155.4  -3290 -0.689339   2166312  0.541949  2414 -0.003329  0.0000 0.000843 0.000758 0.003190  0.008215  0.070316  0.008200  19.5839837217 -155.4313640177  2413.99667
RADF 05APR01 2005.2485 53461 1316 5 -155.4  -3290 -0.689948   2166312  0.542765  2414 -0.003931  0.0000 0.000785 0.000721 0.002966 -0.012498  0.077696  0.048446  19.5839837291 -155.4313640236  2413.99607
RADF 05APR02 2005.2512 53462 1316 6 -155.4  -3290 -0.689715   2166312  0.541153  2414  0.001051  0.0000 0.000779 0.000715 0.002949 -0.013578  0.101347  0.023696  19.5839837146 -155.4313640213  2414.00105
RADF 05APR03 2005.2539 53463 1317 0 -155.4  -3290 -0.690001   2166312  0.540881  2414  0.011731  0.0000 0.000826 0.000740 0.003062 -0.001655  0.057833  0.020993  19.5839837121 -155.4313640241  2414.01173
RADF 05APR04 2005.2567 53464 1317 1 -155.4  -3290 -0.689296   2166312  0.538493  2414  0.024702  0.0000 0.000794 0.000723 0.002929 -0.009338  0.058364  0.036219  19.5839836905 -155.4313640173  2414.02470
RADF 05APR06 2005.2621 53466 1317 3 -155.4  -3290 -0.690177   2166312  0.539080  2414  0.023473  0.0000 0.000777 0.000706 0.002831 -0.023118  0.060367  0.015088  19.5839836958 -155.4313640257  2414.02347
RADF 05APR07 2005.2649 53467 1317 4 -155.4  -3290 -0.688786   2166312  0.540489  2414  0.018407  0.0000 0.000785 0.000705 0.002836  0.011261  0.078983  0.027914  19.5839837086 -155.4313640125  2414.01841
