site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
SLPC 06JAN25 2006.0671 53760 1359 3 -155.7   3134  0.192446   2146697  0.626527  3141  0.211017  0.0000 0.000779 0.000677 0.002853  0.003709  0.022564 -0.050136  19.4067907711 -155.6701600699  3141.21102
SLPC 06JAN26 2006.0698 53761 1359 4 -155.7   3134  0.196736   2146697  0.625489  3141  0.198270  0.0000 0.000802 0.000688 0.002933  0.005669 -0.010788 -0.034400  19.4067907617 -155.6701600290  3141.19827
SLPC 06JAN27 2006.0726 53762 1359 5 -155.7   3134  0.188079   2146697  0.626827  3141  0.214660  0.0000 0.000781 0.000680 0.002864 -0.002774 -0.011209 -0.029105  19.4067907738 -155.6701601114  3141.21466
SLPC 06JAN28 2006.0753 53763 1359 6 -155.7   3134  0.194278   2146697  0.626092  3141  0.211012  0.0000 0.000782 0.000683 0.002837  0.000358 -0.003801 -0.017240  19.4067907672 -155.6701600524  3141.21101
SLPC 06JAN30 2006.0808 53765 1360 1 -155.7   3134  0.192931   2146697  0.626705  3141  0.208240  0.0000 0.000778 0.000675 0.002781  0.008626  0.004324 -0.031908  19.4067907727 -155.6701600653  3141.20824
SLPC 06JAN31 2006.0835 53766 1360 2 -155.7   3134  0.194872   2146697  0.624828  3141  0.205825  0.0000 0.000781 0.000676 0.002786  0.006764  0.008843 -0.038929  19.4067907558 -155.6701600468  3141.20583
SLPC 06FEB01 2006.0862 53767 1360 3 -155.7   3134  0.189006   2146697  0.625501  3141  0.217497  0.0000 0.000788 0.000683 0.002830  0.005605  0.016210 -0.023720  19.4067907619 -155.6701601026  3141.21750
SLPC 06FEB02 2006.0890 53768 1360 4 -155.7   3134  0.187511   2146697  0.625808  3141  0.223889  0.0000 0.000783 0.000687 0.002812  0.001365  0.003009 -0.013684  19.4067907646 -155.6701601169  3141.22389
SLPC 06FEB03 2006.0917 53769 1360 5 -155.7   3134  0.185642   2146697  0.624963  3141  0.223435  0.0000 0.000785 0.000686 0.002815  0.010007 -0.009931 -0.017204  19.4067907570 -155.6701601347  3141.22343
SLPC 06FEB04 2006.0945 53770 1360 6 -155.7   3134  0.186588   2146697  0.624025  3141  0.220869  0.0000 0.000786 0.000680 0.002781  0.000620  0.008649 -0.018751  19.4067907485 -155.6701601256  3141.22087
SLPC 06FEB05 2006.0972 53771 1361 0 -155.7   3134  0.191392   2146697  0.626476  3141  0.213591  0.0000 0.000792 0.000680 0.002789 -0.008734  0.021304 -0.031738  19.4067907707 -155.6701600799  3141.21359
SLPC 06FEB07 2006.1027 53773 1361 2 -155.7   3134  0.189171   2146697  0.627532  3141  0.218305  0.0000 0.000794 0.000685 0.002817 -0.001889 -0.014087 -0.050634  19.4067907802 -155.6701601011  3141.21830
SLPC 06FEB08 2006.1054 53774 1361 3 -155.7   3134  0.188934   2146697  0.626570  3141  0.219568  0.0000 0.000792 0.000690 0.002813  0.012028  0.004928 -0.031075  19.4067907715 -155.6701601033  3141.21957
SLPC 06FEB09 2006.1081 53775 1361 4 -155.7   3134  0.188292   2146697  0.626439  3141  0.222373  0.0000 0.000814 0.000692 0.002811 -0.018596  0.015439 -0.021434  19.4067907703 -155.6701601094  3141.22237
SLPC 06FEB10 2006.1109 53776 1361 5 -155.7   3134  0.185127   2146697  0.625600  3141  0.225119  0.0000 0.000864 0.000705 0.002918 -0.027551  0.041758  0.004543  19.4067907628 -155.6701601396  3141.22512
SLPC 06FEB11 2006.1136 53777 1361 6 -155.7   3134  0.188842   2146697  0.625486  3141  0.222702  0.0000 0.000796 0.000685 0.002808 -0.011318  0.031556 -0.029334  19.4067907617 -155.6701601042  3141.22270
SLPC 06FEB12 2006.1164 53778 1362 0 -155.7   3134  0.186489   2146697  0.625760  3141  0.216332  0.0000 0.000792 0.000685 0.002802 -0.009302  0.035639 -0.061057  19.4067907642 -155.6701601266  3141.21633
SLPC 06FEB13 2006.1191 53779 1362 1 -155.7   3134  0.187734   2146697  0.625987  3141  0.214790  0.0000 0.000792 0.000692 0.002828 -0.012793  0.012718 -0.049310  19.4067907662 -155.6701601147  3141.21479
SLPC 06FEB14 2006.1218 53780 1362 2 -155.7   3134  0.188870   2146697  0.627654  3141  0.223861  0.0000 0.000796 0.000692 0.002802  0.013049  0.000980 -0.039109  19.4067907813 -155.6701601039  3141.22386
SLPC 06FEB15 2006.1246 53781 1362 3 -155.7   3134  0.188555   2146697  0.625522  3141  0.217728  0.0000 0.000788 0.000685 0.002748  0.008612  0.033958 -0.021821  19.4067907620 -155.6701601069  3141.21773
SLPC 06FEB16 2006.1273 53782 1362 4 -155.7   3134  0.187434   2146697  0.626709  3141  0.217631  0.0000 0.000790 0.000681 0.002750 -0.013511  0.032446 -0.032207  19.4067907728 -155.6701601176  3141.21763
SLPC 06FEB17 2006.1300 53783 1362 5 -155.7   3134  0.184877   2146697  0.624768  3141  0.216473  0.0000 0.000792 0.000681 0.002745 -0.016371  0.047398 -0.022062  19.4067907552 -155.6701601419  3141.21647
SLPC 06FEB18 2006.1328 53784 1362 6 -155.7   3134  0.186071   2146697  0.625992  3141  0.218131  0.0000 0.000808 0.000689 0.002834 -0.013816  0.043936 -0.054070  19.4067907663 -155.6701601306  3141.21813
SLPC 06FEB19 2006.1355 53785 1363 0 -155.7   3134  0.185762   2146697  0.624838  3141  0.215889  0.0000 0.000800 0.000692 0.002831 -0.000572  0.028885 -0.045040  19.4067907559 -155.6701601335  3141.21589
SLPC 06FEB20 2006.1383 53786 1363 1 -155.7   3134  0.184479   2146697  0.625686  3141  0.218136  0.0000 0.000801 0.000697 0.002825  0.017620  0.036141 -0.014753  19.4067907635 -155.6701601457  3141.21814
SLPC 06FEB21 2006.1410 53787 1363 2 -155.7   3134  0.185214   2146697  0.627030  3141  0.220970  0.0000 0.000797 0.000691 0.002820 -0.016535  0.061913  0.001325  19.4067907757 -155.6701601387  3141.22097
SLPC 06FEB22 2006.1437 53788 1363 3 -155.7   3134  0.181988   2146697  0.626886  3141  0.221743  0.0000 0.000805 0.000691 0.002819 -0.024486  0.055451 -0.010015  19.4067907744 -155.6701601694  3141.22174
SLPC 06FEB23 2006.1465 53789 1363 4 -155.7   3134  0.184986   2146697  0.627574  3141  0.220931  0.0000 0.000795 0.000687 0.002811 -0.013434  0.044603 -0.044014  19.4067907806 -155.6701601409  3141.22093
SLPC 06FEB24 2006.1492 53790 1363 5 -155.7   3134  0.182676   2146697  0.625511  3141  0.220124  0.0000 0.000786 0.000678 0.002778 -0.025352  0.034510 -0.040669  19.4067907620 -155.6701601629  3141.22012
SLPC 06FEB25 2006.1520 53791 1363 6 -155.7   3134  0.185399   2146697  0.628534  3141  0.219893  0.0000 0.000794 0.000687 0.002819 -0.018214  0.024426 -0.016131  19.4067907893 -155.6701601370  3141.21989
SLPC 06FEB26 2006.1547 53792 1364 0 -155.7   3134  0.185123   2146697  0.628216  3141  0.218129  0.0000 0.000786 0.000686 0.002801 -0.005129  0.045079 -0.010845  19.4067907864 -155.6701601396  3141.21813
SLPC 06FEB27 2006.1574 53793 1364 1 -155.7   3134  0.184045   2146697  0.626010  3141  0.217661  0.0000 0.000788 0.000682 0.002784 -0.018839  0.064983 -0.021095  19.4067907665 -155.6701601499  3141.21766
SLPC 06FEB28 2006.1602 53794 1364 2 -155.7   3134  0.184886   2146697  0.625451  3141  0.218685  0.0000 0.000802 0.000695 0.002846 -0.039008  0.086864  0.002970  19.4067907614 -155.6701601418  3141.21868
