site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
STEP 02OCT12 2002.7789 52559 1187 6 -155.6   2646  0.980965   2161049  0.496893  3419  0.012011  0.0850 0.000993 0.001032 0.004498  0.085285  0.099088  0.334613  19.5364399120 -155.5747786491  3419.01201
STEP 02OCT13 2002.7817 52560 1188 0 -155.6   2646  0.983067   2161049  0.498653  3419  0.009758  0.0850 0.000980 0.001046 0.004467  0.002143  0.081233  0.330857  19.5364399279 -155.5747786291  3419.00976
STEP 02OCT14 2002.7844 52561 1188 1 -155.6   2646  0.982209   2161049  0.496703  3419  0.017500  0.0850 0.001056 0.001082 0.004720  0.052475  0.112390  0.349185  19.5364399103 -155.5747786372  3419.01750
STEP 02OCT15 2002.7871 52562 1188 2 -155.6   2646  0.981610   2161049  0.496207  3419  0.006624  0.0850 0.001043 0.001061 0.004724  0.053562  0.074653  0.317754  19.5364399058 -155.5747786429  3419.00662
STEP 02OCT16 2002.7899 52563 1188 3 -155.6   2646  0.980612   2161049  0.496544  3419  0.014753  0.0850 0.001004 0.000998 0.004248 -0.032626 -0.025683  0.212943  19.5364399088 -155.5747786525  3419.01475
STEP 02OCT17 2002.7926 52564 1188 4 -155.6   2646  0.978189   2161049  0.499396  3419  0.017595  0.0850 0.000979 0.000992 0.004321  0.057602  0.063601  0.305759  19.5364399346 -155.5747786755  3419.01759
STEP 02OCT18 2002.7953 52565 1188 5 -155.6   2646  0.980874   2161049  0.496859  3419 -0.008270  0.0850 0.000986 0.000975 0.004223 -0.003713  0.086569  0.275578  19.5364399117 -155.5747786500  3418.99173
STEP 02OCT25 2002.8145 52572 1189 5 -155.6   2646  0.980135   2161049  0.500854  3419  0.013607  0.0850 0.001081 0.001035 0.004631  0.043164  0.096662  0.282467  19.5364399478 -155.5747786570  3419.01361
STEP 02OCT26 2002.8172 52573 1189 6 -155.6   2646  0.982331   2161049  0.499733  3419  0.007660  0.0850 0.000969 0.000957 0.004183  0.041581  0.023988  0.250297  19.5364399376 -155.5747786361  3419.00766
STEP 02OCT27 2002.8200 52574 1190 0 -155.6   2646  0.982526   2161049  0.498295  3419 -0.002518  0.0850 0.000957 0.000965 0.004184  0.013585  0.026109  0.243610  19.5364399246 -155.5747786342  3418.99748
STEP 02OCT28 2002.8227 52575 1190 1 -155.6   2646  0.980294   2161049  0.499333  3419  0.001068  0.0850 0.000959 0.000968 0.004252  0.040404  0.051766  0.256586  19.5364399340 -155.5747786555  3419.00107
STEP 02OCT30 2002.8282 52577 1190 3 -155.6   2646  0.980680   2161049  0.499222  3419  0.009064  0.0850 0.000979 0.000974 0.004322  0.027296  0.087758  0.236908  19.5364399330 -155.5747786518  3419.00906
STEP 02OCT31 2002.8309 52578 1190 4 -155.6   2646  0.980402   2161049  0.500103  3419  0.008786  0.0850 0.000942 0.000948 0.004212  0.018297  0.054669  0.259572  19.5364399410 -155.5747786545  3419.00879
STEP 02NOV01 2002.8337 52579 1190 5 -155.6   2646  0.981769   2161049  0.499491  3419  0.007492  0.0850 0.000952 0.000947 0.004222  0.018818  0.033436  0.280812  19.5364399354 -155.5747786414  3419.00749
STEP 02NOV02 2002.8364 52580 1190 6 -155.6   2646  0.980774   2161049  0.500814  3419  0.001695  0.0850 0.000995 0.000967 0.004316  0.027079 -0.025547  0.263593  19.5364399474 -155.5747786509  3419.00169
STEP 02NOV03 2002.8392 52581 1191 0 -155.6   2646  0.980040   2161049  0.498701  3419  0.005053  0.0850 0.000954 0.000977 0.004232  0.027166 -0.019318  0.236289  19.5364399283 -155.5747786579  3419.00505
STEP 02NOV04 2002.8419 52582 1191 1 -155.6   2646  0.981158   2161049  0.499765  3419  0.008473  0.0850 0.000910 0.000935 0.004017  0.008116  0.058663  0.246626  19.5364399379 -155.5747786473  3419.00847
STEP 02NOV05 2002.8446 52583 1191 2 -155.6   2646  0.981556   2161049  0.499657  3419  0.003766  0.0850 0.000925 0.000931 0.004010 -0.004980  0.033642  0.230403  19.5364399369 -155.5747786435  3419.00377
STEP 02NOV06 2002.8474 52584 1191 3 -155.6   2646  0.981941   2161049  0.500511  3419  0.000621  0.0850 0.000898 0.000924 0.003905  0.034523  0.010677  0.199614  19.5364399447 -155.5747786398  3419.00062
STEP 02NOV07 2002.8501 52585 1191 4 -155.6   2646  0.982153   2161049  0.499285  3419 -0.000325  0.0850 0.000893 0.000912 0.003819 -0.021314  0.039100  0.192677  19.5364399336 -155.5747786378  3418.99968
STEP 02NOV08 2002.8528 52586 1191 5 -155.6   2646  0.979993   2161049  0.497497  3419  0.005234  0.0850 0.000933 0.000941 0.004023  0.006280  0.003044  0.208196  19.5364399174 -155.5747786584  3419.00523
STEP 02NOV09 2002.8556 52587 1191 6 -155.6   2646  0.978569   2161049  0.496970  3419  0.007253  0.0850 0.000907 0.000938 0.003995  0.020925  0.012268  0.206530  19.5364399127 -155.5747786719  3419.00725
STEP 02NOV10 2002.8583 52588 1192 0 -155.6   2646  0.977790   2161049  0.499797  3419  0.006088  0.0850 0.000929 0.000980 0.004170 -0.007091  0.041226  0.278368  19.5364399382 -155.5747786793  3419.00609
STEP 02NOV11 2002.8611 52589 1192 1 -155.6   2646  0.976888   2161049  0.502119  3419  0.015205  0.0850 0.000917 0.000931 0.004072 -0.007191  0.024980  0.252189  19.5364399592 -155.5747786879  3419.01521
STEP 02NOV12 2002.8638 52590 1192 2 -155.6   2646  0.978256   2161049  0.501677  3419  0.016106  0.0850 0.000929 0.000952 0.004062  0.032399  0.021636  0.230873  19.5364399552 -155.5747786749  3419.01611
STEP 02NOV13 2002.8665 52591 1192 3 -155.6   2646  0.976324   2161049  0.503203  3419  0.005156  0.0850 0.000935 0.000939 0.004060 -0.014719  0.025099  0.201669  19.5364399690 -155.5747786933  3419.00516
STEP 02NOV14 2002.8693 52592 1192 4 -155.6   2646  0.976628   2161049  0.502093  3419  0.014361  0.0850 0.000906 0.000928 0.003998 -0.002562  0.029365  0.240465  19.5364399589 -155.5747786904  3419.01436
STEP 02NOV15 2002.8720 52593 1192 5 -155.6   2646  0.977962   2161049  0.501167  3419  0.008765  0.0850 0.000901 0.000926 0.003994  0.000677  0.028167  0.250712  19.5364399506 -155.5747786777  3419.00876
STEP 02NOV16 2002.8747 52594 1192 6 -155.6   2646  0.975005   2161049  0.501006  3419  0.010846  0.0850 0.000918 0.000954 0.004147 -0.032080  0.021086  0.246066  19.5364399491 -155.5747787059  3419.01085
STEP 02NOV17 2002.8775 52595 1193 0 -155.6   2646  0.973387   2161049  0.498789  3419  0.001403  0.0850 0.000921 0.000998 0.004249  0.029261  0.020323  0.251724  19.5364399291 -155.5747787213  3419.00140
STEP 02NOV18 2002.8802 52596 1193 1 -155.6   2646  0.971380   2161049  0.502575  3419  0.006260  0.0850 0.000891 0.000944 0.003962  0.012964  0.021261  0.259600  19.5364399633 -155.5747787404  3419.00626
STEP 02NOV19 2002.8830 52597 1193 2 -155.6   2646  0.973107   2161049  0.501795  3419  0.005986  0.0850 0.000886 0.000931 0.003931 -0.003653  0.083788  0.236390  19.5364399563 -155.5747787240  3419.00599
STEP 02NOV20 2002.8857 52598 1193 3 -155.6   2646  0.973795   2161049  0.500468  3419  0.001165  0.0850 0.000874 0.000922 0.003914 -0.004289  0.057170  0.240683  19.5364399443 -155.5747787174  3419.00116
STEP 02NOV21 2002.8884 52599 1193 4 -155.6   2646  0.975219   2161049  0.500003  3419  0.000236  0.0850 0.000921 0.000987 0.004164  0.043541  0.098474  0.292781  19.5364399401 -155.5747787038  3419.00024
STEP 02NOV22 2002.8912 52600 1193 5 -155.6   2646  0.974510   2161049  0.504197  3419 -0.003903  0.0850 0.000876 0.000917 0.003921  0.031460  0.059536  0.221947  19.5364399780 -155.5747787106  3418.99610
STEP 02NOV23 2002.8939 52601 1193 6 -155.6   2646  0.973747   2161049  0.503007  3419  0.007288  0.0850 0.000870 0.000917 0.003818  0.001090  0.071397  0.219917  19.5364399672 -155.5747787179  3419.00729
STEP 02NOV24 2002.8966 52602 1194 0 -155.6   2646  0.973937   2161049  0.503912  3419  0.000612  0.0850 0.000894 0.000958 0.003914  0.017131  0.098145  0.198802  19.5364399754 -155.5747787160  3419.00061
STEP 02NOV25 2002.8994 52603 1194 1 -155.6   2646  0.975475   2161049  0.502233  3419 -0.006713  0.0850 0.000877 0.000913 0.003887  0.022450  0.071888  0.212684  19.5364399602 -155.5747787014  3418.99329
STEP 02NOV26 2002.9021 52604 1194 2 -155.6   2646  0.974587   2161049  0.504756  3419 -0.001037  0.0850 0.000937 0.000933 0.004044  0.027798  0.089082  0.238704  19.5364399830 -155.5747787099  3418.99896
STEP 02NOV27 2002.9049 52605 1194 3 -155.6   2646  0.973824   2161049  0.505247  3419 -0.001242  0.0850 0.000911 0.000945 0.004065  0.024925  0.088662  0.229771  19.5364399874 -155.5747787171  3418.99876
STEP 02NOV28 2002.9076 52606 1194 4 -155.6   2646  0.975722   2161049  0.505591  3419  0.005002  0.0850 0.000922 0.001010 0.004201  0.001749  0.021408  0.244891  19.5364399906 -155.5747786990  3419.00500
STEP 02NOV29 2002.9103 52607 1194 5 -155.6   2646  0.974000   2161049  0.504232  3419  0.000604  0.0850 0.000929 0.000923 0.004020  0.001410  0.042813  0.233294  19.5364399783 -155.5747787155  3419.00060
STEP 02NOV30 2002.9131 52608 1194 6 -155.6   2646  0.974019   2161049  0.506576  3419  0.001549  0.0850 0.000922 0.000961 0.004197 -0.005675  0.077715  0.282405  19.5364399994 -155.5747787153  3419.00155
STEP 02DEC01 2002.9158 52609 1195 0 -155.6   2646  0.973262   2161049  0.504586  3419 -0.007138  0.0850 0.000924 0.000993 0.004335  0.089549  0.101456  0.235032  19.5364399815 -155.5747787225  3418.99286
STEP 02DEC02 2002.9185 52610 1195 1 -155.6   2646  0.973974   2161049  0.503403  3419  0.000077  0.0850 0.000914 0.000970 0.004140  0.081511  0.101191  0.276598  19.5364399708 -155.5747787157  3419.00008
STEP 02DEC03 2002.9213 52611 1195 2 -155.6   2646  0.975775   2161049  0.506763  3419 -0.001244  0.0850 0.000942 0.000958 0.004211  0.049227  0.007418  0.274316  19.5364400011 -155.5747786985  3418.99876
STEP 02DEC04 2002.9240 52612 1195 3 -155.6   2646  0.976185   2161049  0.506444  3419 -0.009155  0.0850 0.000919 0.000973 0.004289  0.053638  0.096413  0.277945  19.5364399983 -155.5747786946  3418.99084
STEP 02DEC05 2002.9268 52613 1195 4 -155.6   2646  0.974100   2161049  0.508405  3419 -0.002943  0.0850 0.000933 0.000963 0.004230 -0.006976  0.032208  0.256833  19.5364400160 -155.5747787145  3418.99706
STEP 02DEC06 2002.9295 52614 1195 5 -155.6   2646  0.976111   2161049  0.507119  3419  0.003624  0.0850 0.000937 0.000950 0.004096  0.009563  0.010118  0.257398  19.5364400044 -155.5747786953  3419.00362
STEP 02DEC07 2002.9322 52615 1195 6 -155.6   2646  0.970426   2161049  0.505100  3419  0.004436  0.0850 0.000902 0.000940 0.004077  0.011017  0.095759  0.284207  19.5364399861 -155.5747787495  3419.00444
STEP 02DEC08 2002.9350 52616 1196 0 -155.6   2646  0.972633   2161049  0.506092  3419 -0.000187  0.0850 0.000930 0.000977 0.004135  0.059636  0.048424  0.227563  19.5364399951 -155.5747787285  3418.99981
STEP 02DEC09 2002.9377 52617 1196 1 -155.6   2646  0.975007   2161049  0.504155  3419 -0.003539  0.0850 0.000904 0.000954 0.004034  0.025442  0.043212  0.225974  19.5364399776 -155.5747787059  3418.99646
STEP 02DEC10 2002.9405 52618 1196 2 -155.6   2646  0.975038   2161049  0.506213  3419  0.001970  0.0850 0.000966 0.000959 0.004100 -0.035889  0.006585  0.202258  19.5364399962 -155.5747787056  3419.00197
STEP 02DEC11 2002.9432 52619 1196 3 -155.6   2646  0.970181   2161049  0.500596  3419 -0.002732  0.0850 0.000927 0.000946 0.004106 -0.017909  0.014190  0.265243  19.5364399454 -155.5747787518  3418.99727
STEP 02DEC12 2002.9459 52620 1196 4 -155.6   2646  0.970381   2161049  0.506909  3419  0.008670  0.0850 0.000882 0.000931 0.003909  0.004852  0.070092  0.205799  19.5364400025 -155.5747787499  3419.00867
STEP 02DEC13 2002.9487 52621 1196 5 -155.6   2646  0.966876   2161049  0.504917  3419  0.012018  0.0850 0.000900 0.000934 0.004002 -0.004165 -0.003513  0.244093  19.5364399845 -155.5747787833  3419.01202
STEP 02DEC14 2002.9514 52622 1196 6 -155.6   2646  0.968934   2161049  0.502064  3419  0.005329  0.0850 0.000918 0.000943 0.004054  0.015760  0.015512  0.244579  19.5364399587 -155.5747787637  3419.00533
STEP 02DEC15 2002.9541 52623 1197 0 -155.6   2646  0.971152   2161049  0.503396  3419  0.000742  0.0850 0.000947 0.000977 0.004252  0.013000 -0.024349  0.242262  19.5364399707 -155.5747787426  3419.00074
STEP 02DEC16 2002.9569 52624 1197 1 -155.6   2646  0.968164   2161049  0.502744  3419  0.005334  0.0850 0.000938 0.000966 0.004139 -0.010044 -0.000833  0.276507  19.5364399648 -155.5747787711  3419.00533
STEP 02DEC17 2002.9596 52625 1197 2 -155.6   2646  0.970316   2161049  0.507465  3419  0.009597  0.0850 0.000945 0.000929 0.003978 -0.001705 -0.009986  0.213780  19.5364400075 -155.5747787505  3419.00960
STEP 02DEC18 2002.9624 52626 1197 3 -155.6   2646  0.966696   2161049  0.503485  3419  0.006145  0.0850 0.000944 0.000953 0.003996  0.002016  0.020963  0.202874  19.5364399715 -155.5747787851  3419.00615
STEP 02DEC19 2002.9651 52627 1197 4 -155.6   2646  0.969470   2161049  0.509192  3419  0.013385  0.0850 0.000965 0.000965 0.004116 -0.007613  0.064343  0.242265  19.5364400231 -155.5747787586  3419.01338
STEP 02DEC20 2002.9678 52628 1197 5 -155.6   2646  0.973352   2161049  0.506273  3419  0.005468  0.0850 0.000936 0.000981 0.004258  0.033423  0.060008  0.233239  19.5364399967 -155.5747787216  3419.00547
STEP 02DEC21 2002.9706 52629 1197 6 -155.6   2646  0.968135   2161049  0.507020  3419  0.003593  0.0850 0.000884 0.000934 0.003882  0.024136  0.070946  0.279603  19.5364400035 -155.5747787713  3419.00359
STEP 02DEC22 2002.9733 52630 1198 0 -155.6   2646  0.966487   2161049  0.504839  3419  0.009233  0.0850 0.000899 0.000946 0.003947  0.006972  0.020417  0.236585  19.5364399838 -155.5747787870  3419.00923
STEP 02DEC23 2002.9760 52631 1198 1 -155.6   2646  0.967223   2161049  0.506060  3419  0.012151  0.0850 0.000955 0.000971 0.004097  0.036932  0.027925  0.235547  19.5364399948 -155.5747787800  3419.01215
STEP 02DEC24 2002.9788 52632 1198 2 -155.6   2646  0.972471   2161049  0.507590  3419  0.007938  0.0850 0.000921 0.000946 0.004028  0.022089  0.002298  0.244955  19.5364400086 -155.5747787300  3419.00794
STEP 02DEC25 2002.9815 52633 1198 3 -155.6   2646  0.965919   2161049  0.505683  3419  0.013104  0.0850 0.000902 0.000950 0.003972  0.013911  0.031325  0.233221  19.5364399914 -155.5747787924  3419.01310
STEP 02DEC26 2002.9843 52634 1198 4 -155.6   2646  0.967134   2161049  0.504064  3419  0.010862  0.0850 0.000887 0.000940 0.003919  0.006560  0.034456  0.241510  19.5364399768 -155.5747787809  3419.01086
STEP 02DEC27 2002.9870 52635 1198 5 -155.6   2646  0.969684   2161049  0.504738  3419  0.006298  0.0850 0.000959 0.000976 0.004121  0.034618 -0.026605  0.270022  19.5364399828 -155.5747787566  3419.00630
STEP 02DEC28 2002.9897 52636 1198 6 -155.6   2646  0.965158   2161049  0.504640  3419  0.012903  0.0850 0.000905 0.000958 0.003929  0.021343  0.080639  0.250212  19.5364399820 -155.5747787997  3419.01290
STEP 02DEC29 2002.9925 52637 1199 0 -155.6   2646  0.967511   2161049  0.506526  3419  0.017236  0.0850 0.000888 0.000960 0.003938  0.016828  0.050833  0.236466  19.5364399990 -155.5747787773  3419.01724
STEP 02DEC30 2002.9952 52638 1199 1 -155.6   2646  0.968252   2161049  0.506986  3419  0.004892  0.0850 0.000907 0.000959 0.004022  0.017227  0.071361  0.266065  19.5364400032 -155.5747787702  3419.00489
STEP 02DEC31 2002.9979 52639 1199 2 -155.6   2646  0.965370   2161049  0.503642  3419  0.002522  0.0850 0.000926 0.000962 0.004035  0.048392  0.044558  0.235696  19.5364399729 -155.5747787977  3419.00252
STEP 03JAN01 2003.0007 52640 1199 3 -155.6   2646  0.967009   2161049  0.506191  3419  0.010995  0.0850 0.000969 0.001004 0.004270 -0.037979 -0.028953  0.272988  19.5364399960 -155.5747787821  3419.01100
STEP 03JAN02 2003.0034 52641 1199 4 -155.6   2646  0.964925   2161049  0.506651  3419  0.011812  0.0850 0.000939 0.000963 0.004121  0.016690  0.069923  0.271460  19.5364400001 -155.5747788019  3419.01181
STEP 03JAN03 2003.0062 52642 1199 5 -155.6   2646  0.964063   2161049  0.504108  3419  0.015413  0.0850 0.000894 0.000958 0.003998 -0.022560  0.056194  0.206599  19.5364399772 -155.5747788101  3419.01541
STEP 03JAN04 2003.0089 52643 1199 6 -155.6   2646  0.967098   2161049  0.504128  3419  0.013057  0.0850 0.000901 0.000936 0.003950 -0.002117  0.082183  0.250235  19.5364399773 -155.5747787812  3419.01306
STEP 03JAN05 2003.0116 52644 1200 0 -155.6   2646  0.965620   2161049  0.504250  3419  0.013535  0.0850 0.000937 0.001002 0.004209  0.005260  0.024445  0.252919  19.5364399784 -155.5747787953  3419.01353
STEP 03JAN06 2003.0144 52645 1200 1 -155.6   2646  0.966116   2161049  0.504106  3419  0.011204  0.0850 0.000894 0.000943 0.003970 -0.003704  0.047563  0.228627  19.5364399771 -155.5747787906  3419.01120
STEP 03JAN07 2003.0171 52646 1200 2 -155.6   2646  0.965814   2161049  0.507017  3419  0.012527  0.0850 0.000927 0.000987 0.004210  0.002588  0.028957  0.255050  19.5364400034 -155.5747787934  3419.01253
STEP 03JAN08 2003.0198 52647 1200 3 -155.6   2646  0.967111   2161049  0.507882  3419  0.008942  0.0850 0.000934 0.000952 0.004128 -0.004955  0.032824  0.230341  19.5364400112 -155.5747787811  3419.00894
STEP 03JAN09 2003.0226 52648 1200 4 -155.6   2646  0.964959   2161049  0.506070  3419  0.018709  0.0850 0.000925 0.000951 0.004085 -0.016695 -0.002572  0.214150  19.5364399949 -155.5747788016  3419.01871
STEP 03JAN10 2003.0253 52649 1200 5 -155.6   2646  0.964337   2161049  0.507252  3419  0.017442  0.0850 0.000909 0.000973 0.004076  0.033975  0.044134  0.237148  19.5364400056 -155.5747788075  3419.01744
STEP 03JAN11 2003.0281 52650 1200 6 -155.6   2646  0.965770   2161049  0.506119  3419  0.009700  0.0850 0.000910 0.000944 0.004066  0.006665  0.052386  0.239851  19.5364399953 -155.5747787939  3419.00970
STEP 03JAN12 2003.0308 52651 1201 0 -155.6   2646  0.965437   2161049  0.508424  3419  0.010912  0.0850 0.000925 0.000949 0.004128 -0.026869  0.014226  0.251001  19.5364400161 -155.5747787970  3419.01091
STEP 03JAN13 2003.0335 52652 1201 1 -155.6   2646  0.969527   2161049  0.510582  3419  0.015821  0.0850 0.000898 0.000933 0.003988 -0.030656 -0.015692  0.241026  19.5364400356 -155.5747787581  3419.01582
STEP 03JAN14 2003.0363 52653 1201 2 -155.6   2646  0.964691   2161049  0.506856  3419  0.017604  0.0850 0.000913 0.000958 0.004141  0.008647  0.030566  0.265879  19.5364400020 -155.5747788041  3419.01760
STEP 03JAN15 2003.0390 52654 1201 3 -155.6   2646  0.973461   2161049  0.507155  3419  0.011473  0.0850 0.000917 0.000979 0.004195 -0.027242  0.005946  0.252827  19.5364400047 -155.5747787206  3419.01147
STEP 03JAN16 2003.0418 52655 1201 4 -155.6   2646  0.968908   2161049  0.510179  3419  0.010323  0.0850 0.000914 0.000982 0.004227 -0.006108  0.055458  0.289891  19.5364400320 -155.5747787640  3419.01032
STEP 03JAN17 2003.0445 52656 1201 5 -155.6   2646  0.966246   2161049  0.507397  3419  0.014187  0.0850 0.000909 0.000951 0.004046 -0.008247  0.062772  0.245919  19.5364400069 -155.5747787893  3419.01419
STEP 03JAN18 2003.0472 52657 1201 6 -155.6   2646  0.964005   2161049  0.507765  3419  0.008667  0.0850 0.000887 0.000931 0.003973 -0.027526  0.030629  0.188822  19.5364400102 -155.5747788107  3419.00867
STEP 03JAN19 2003.0500 52658 1202 0 -155.6   2646  0.968223   2161049  0.506426  3419  0.003465  0.0850 0.000908 0.000973 0.004125  0.027133  0.077129  0.257338  19.5364399981 -155.5747787705  3419.00347
STEP 03JAN20 2003.0527 52659 1202 1 -155.6   2646  0.971352   2161049  0.506948  3419  0.001166  0.0850 0.000913 0.000958 0.004119  0.001741  0.041507  0.273841  19.5364400028 -155.5747787407  3419.00117
STEP 03JAN21 2003.0554 52660 1202 2 -155.6   2646  0.965928   2161049  0.508060  3419  0.018448  0.0850 0.000901 0.000975 0.004180  0.035698  0.040605  0.243146  19.5364400129 -155.5747787924  3419.01845
STEP 03JAN22 2003.0582 52661 1202 3 -155.6   2646  0.962673   2161049  0.508423  3419  0.008302  0.0850 0.000906 0.000926 0.004010 -0.012056  0.082023  0.217896  19.5364400161 -155.5747788234  3419.00830
STEP 03JAN23 2003.0609 52662 1202 4 -155.6   2646  0.964746   2161049  0.509171  3419  0.017391  0.0850 0.000949 0.000976 0.004175 -0.007529  0.062472  0.249100  19.5364400229 -155.5747788036  3419.01739
STEP 03JAN24 2003.0637 52663 1202 5 -155.6   2646  0.965996   2161049  0.507051  3419  0.002871  0.0850 0.000944 0.000987 0.004208  0.028031  0.029093  0.267019  19.5364400037 -155.5747787917  3419.00287
STEP 03JAN25 2003.0664 52664 1202 6 -155.6   2646  0.964287   2161049  0.507203  3419  0.005298  0.0850 0.000923 0.000991 0.004246  0.033613 -0.012384  0.210101  19.5364400051 -155.5747788080  3419.00530
STEP 03JAN26 2003.0691 52665 1203 0 -155.6   2646  0.961712   2161049  0.506357  3419  0.009629  0.0850 0.000909 0.000973 0.004206 -0.002168 -0.020305  0.251545  19.5364399975 -155.5747788325  3419.00963
STEP 03JAN27 2003.0719 52666 1203 1 -155.6   2646  0.965590   2161049  0.506629  3419  0.008397  0.0850 0.000953 0.000993 0.004330  0.019099  0.047739  0.243029  19.5364399999 -155.5747787956  3419.00840
STEP 03JAN28 2003.0746 52667 1203 2 -155.6   2646  0.965831   2161049  0.507565  3419  0.001613  0.0850 0.000958 0.000985 0.004325  0.025461 -0.022598  0.218462  19.5364400084 -155.5747787933  3419.00161
STEP 03JAN29 2003.0773 52668 1203 3 -155.6   2646  0.964029   2161049  0.508102  3419  0.021852  0.0850 0.000932 0.000947 0.004148  0.026547  0.039938  0.212876  19.5364400132 -155.5747788104  3419.02185
STEP 03JAN30 2003.0801 52669 1203 4 -155.6   2646  0.964165   2161049  0.505639  3419  0.012704  0.0850 0.000978 0.000967 0.004239 -0.016624 -0.023693  0.213860  19.5364399910 -155.5747788092  3419.01270
STEP 03JAN31 2003.0828 52670 1203 5 -155.6   2646  0.963304   2161049  0.507023  3419  0.013811  0.0850 0.000938 0.000957 0.004155  0.014432  0.031502  0.202174  19.5364400035 -155.5747788174  3419.01381
STEP 03FEB01 2003.0856 52671 1203 6 -155.6   2646  0.963754   2161049  0.510055  3419  0.018674  0.0850 0.000948 0.001001 0.004342  0.029067  0.074016  0.263231  19.5364400309 -155.5747788131  3419.01867
STEP 03FEB02 2003.0883 52672 1204 0 -155.6   2646  0.961268   2161049  0.507538  3419  0.011019  0.0850 0.000913 0.000945 0.004095 -0.017313  0.050935  0.198771  19.5364400081 -155.5747788368  3419.01102
