site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
YEEP 04AUG19 2004.6324 53236 1284 4 -155.7  -4853 -0.483586   2130681  0.213576  2265  0.849037  0.0000 0.000925 0.000833 0.003747 -0.000576 -0.010913  0.014930  19.2621026273 -155.7461682271  2265.84904
YEEP 04AUG20 2004.6352 53237 1284 5 -155.7  -4853 -0.485646   2130681  0.215806  2265  0.832621  0.0000 0.000918 0.000821 0.003615  0.010560  0.075371  0.028238  19.2621026474 -155.7461682467  2265.83262
YEEP 04AUG21 2004.6379 53238 1284 6 -155.7  -4853 -0.486704   2130681  0.212967  2265  0.848913  0.0000 0.000895 0.000798 0.003543  0.020074 -0.019945 -0.028984  19.2621026218 -155.7461682567  2265.84891
YEEP 04AUG22 2004.6407 53239 1285 0 -155.7  -4853 -0.486903   2130681  0.215380  2265  0.848261  0.0000 0.000987 0.000848 0.003713 -0.091363 -0.091394  0.022575  19.2621026436 -155.7461682586  2265.84826
YEEP 04AUG23 2004.6434 53240 1285 1 -155.7  -4853 -0.486710   2130681  0.217451  2265  0.843233  0.0000 0.000940 0.000867 0.003712  0.003620  0.030074  0.079305  19.2621026623 -155.7461682568  2265.84323
YEEP 04AUG24 2004.6461 53241 1285 2 -155.7  -4853 -0.488461   2130681  0.213928  2265  0.845058  0.0000 0.000885 0.000814 0.003513 -0.017976  0.021490  0.018795  19.2621026305 -155.7461682735  2265.84506
YEEP 04AUG25 2004.6489 53242 1285 3 -155.7  -4853 -0.488152   2130681  0.216219  2265  0.843912  0.0000 0.000902 0.000836 0.003592  0.023007  0.012644  0.009166  19.2621026512 -155.7461682705  2265.84391
YEEP 04AUG26 2004.6516 53243 1285 4 -155.7  -4853 -0.487268   2130681  0.218708  2265  0.845326  0.0000 0.000905 0.000802 0.003487  0.012531  0.004004  0.011529  19.2621026736 -155.7461682621  2265.84533
YEEP 04AUG27 2004.6543 53244 1285 5 -155.7  -4853 -0.488676   2130681  0.216826  2265  0.850657  0.0000 0.000895 0.000799 0.003489  0.040211  0.018207  0.001949  19.2621026566 -155.7461682755  2265.85066
YEEP 04AUG28 2004.6571 53245 1285 6 -155.7  -4853 -0.490086   2130681  0.216606  2265  0.843504  0.0000 0.000922 0.000836 0.003692  0.040215 -0.060650  0.050189  19.2621026547 -155.7461682889  2265.84350
YEEP 04AUG29 2004.6598 53246 1286 0 -155.7  -4853 -0.489460   2130681  0.216877  2265  0.844837  0.0000 0.000934 0.000844 0.003641  0.072392 -0.061879 -0.038974  19.2621026571 -155.7461682830  2265.84484
YEEP 04AUG30 2004.6626 53247 1286 1 -155.7  -4853 -0.489064   2130681  0.217205  2265  0.854429  0.0000 0.000941 0.000868 0.003752 -0.021540 -0.022033  0.000039  19.2621026601 -155.7461682792  2265.85443
YEEP 04AUG31 2004.6653 53248 1286 2 -155.7  -4853 -0.486505   2130681  0.216596  2265  0.840965  0.0000 0.000870 0.000811 0.003415 -0.014788 -0.000682  0.038250  19.2621026546 -155.7461682549  2265.84096
YEEP 04SEP01 2004.6680 53249 1286 3 -155.7  -4853 -0.487108   2130681  0.217032  2265  0.844372  0.0000 0.000889 0.000813 0.003528 -0.012468 -0.018209  0.014574  19.2621026585 -155.7461682606  2265.84437
YEEP 04SEP02 2004.6708 53250 1286 4 -155.7  -4853 -0.486780   2130681  0.218309  2265  0.843886  0.0000 0.000889 0.000817 0.003449 -0.024671 -0.019785  0.039564  19.2621026700 -155.7461682575  2265.84389
YEEP 04SEP03 2004.6735 53251 1286 5 -155.7  -4853 -0.488481   2130681  0.216677  2265  0.844958  0.0000 0.000888 0.000800 0.003502 -0.035214 -0.008147 -0.004304  19.2621026553 -155.7461682737  2265.84496
YEEP 04SEP04 2004.6762 53252 1286 6 -155.7  -4853 -0.488350   2130681  0.216452  2265  0.847987  0.0000 0.000879 0.000809 0.003468 -0.004284 -0.015250  0.032313  19.2621026533 -155.7461682724  2265.84799
YEEP 04SEP05 2004.6790 53253 1287 0 -155.7  -4853 -0.487601   2130681  0.218285  2265  0.841171  0.0000 0.000936 0.000837 0.003724  0.022647 -0.118554  0.018207  19.2621026698 -155.7461682653  2265.84117
YEEP 04SEP06 2004.6817 53254 1287 1 -155.7  -4853 -0.488407   2130681  0.219026  2265  0.844023  0.0000 0.000898 0.000819 0.003555  0.011354 -0.017845  0.057917  19.2621026765 -155.7461682730  2265.84402
YEEP 04SEP07 2004.6845 53255 1287 2 -155.7  -4853 -0.489599   2130681  0.217613  2265  0.845594  0.0000 0.000891 0.000808 0.003520  0.011156 -0.013970  0.024601  19.2621026638 -155.7461682843  2265.84559
YEEP 04SEP08 2004.6872 53256 1287 3 -155.7  -4853 -0.489395   2130681  0.216423  2265  0.848466  0.0000 0.000879 0.000797 0.003412  0.018514 -0.011460  0.016024  19.2621026530 -155.7461682823  2265.84847
YEEP 04SEP09 2004.6899 53257 1287 4 -155.7  -4853 -0.487578   2130681  0.219441  2265  0.847438  0.0000 0.000919 0.000832 0.003629 -0.002653  0.001608  0.028674  19.2621026803 -155.7461682651  2265.84744
YEEP 04SEP10 2004.6927 53258 1287 5 -155.7  -4853 -0.485420   2130681  0.218904  2265  0.843239  0.0000 0.000900 0.000810 0.003521  0.035619  0.011484  0.050784  19.2621026754 -155.7461682445  2265.84324
YEEP 04SEP11 2004.6954 53259 1287 6 -155.7  -4853 -0.489195   2130681  0.218903  2265  0.851004  0.0000 0.000891 0.000795 0.003481  0.005013 -0.065608 -0.031081  19.2621026754 -155.7461682805  2265.85100
YEEP 04SEP12 2004.6982 53260 1288 0 -155.7  -4853 -0.488147   2130681  0.217995  2265  0.848033  0.0000 0.000964 0.000853 0.003639  0.051645 -0.007526  0.000443  19.2621026672 -155.7461682705  2265.84803
YEEP 04SEP13 2004.7009 53261 1288 1 -155.7  -4853 -0.488735   2130681  0.216463  2265  0.854800  0.0000 0.000988 0.000867 0.003814  0.038995 -0.032674  0.027316  19.2621026534 -155.7461682761  2265.85480
YEEP 04SEP14 2004.7036 53262 1288 2 -155.7  -4853 -0.489044   2130681  0.218083  2265  0.851080  0.0000 0.000941 0.000850 0.003698 -0.017789  0.008010  0.035948  19.2621026680 -155.7461682790  2265.85108
YEEP 04SEP15 2004.7064 53263 1288 3 -155.7  -4853 -0.487505   2130681  0.216099  2265  0.853169  0.0000 0.000862 0.000787 0.003325  0.026283  0.017981  0.004953  19.2621026501 -155.7461682644  2265.85317
YEEP 04SEP16 2004.7091 53264 1288 4 -155.7  -4853 -0.491142   2130681  0.214486  2265  0.858195  0.0000 0.000927 0.000846 0.003762  0.055632  0.023441  0.016823  19.2621026355 -155.7461682990  2265.85820
